Species	freq	node_id	parent_node_id	Gene symbol	Class	Subclass	n.node	n.node_child	sum	denominator
Acinetobacter baumannii;Acinetobacter pittii	1	blaADC-222	blaADC	blaADC-222	BETA-LACTAM	CEPHALOSPORIN	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	blaOXA-72	blaOXA-24_fam	blaOXA-72	BETA-LACTAM	CARBAPENEM	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	blaOXA-95	blaOXA-51_fam	blaOXA-95	BETA-LACTAM	CARBAPENEM	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	ant(2'')	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	ant(3'')-II	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	blaADC	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	blaOXA-24_fam	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	blaOXA-51_fam	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	catB	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	dfr_gen	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	mph_3	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	msr	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	sul	NA	NA	NA	NA	0	1	1	1
Aeromonas caviae	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	382	369	751	751
Aeromonas caviae	0.9986684420772304	blaMOX	blaCMY-FOX	blaMOX	BETA-LACTAM	CEPHALOSPORIN	549	201	750	751
Aeromonas veronii	0.9968051118210862	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	267	45	312	313
Aeromonas veronii	0.977635782747604	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	306	0	306	313
Aeromonas veronii	0.977635782747604	bla-B2	NA	NA	NA	NA	0	306	306	313
Aeromonas veronii	0.853035143769968	blaOXA-PR	NA	NA	NA	NA	0	267	267	313
Aeromonas salmonicida	1	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	211	51	262	262
Aeromonas salmonicida	0.9961832061068704	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	220	41	261	262
Aeromonas salmonicida	0.8396946564885496	bla-D	NA	NA	NA	NA	0	220	220	262
Aeromonas salmonicida	0.8053435114503816	bla-B2	NA	NA	NA	NA	0	211	211	262
Aeromonas hydrophila	0.9921259842519684	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	103	23	126	127
Aeromonas hydrophila	0.9921259842519684	blaCMY-FOX	NA	NA	NA	NA	0	126	126	127
Aeromonas hydrophila	0.9763779527559056	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	97	27	124	127
Aeromonas dhakensis	1	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	73	48	121	121
Aeromonas dhakensis	1	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	109	12	121	121
Aeromonas dhakensis	0.9008264462809916	blaOXA-PR	NA	NA	NA	NA	0	109	109	121
Aeromonas hydrophila	0.8110236220472441	blaOXA-PR	NA	NA	NA	NA	0	103	103	127
Aeromonas enteropelogenes	1	blaTRU	blaCMY-FOX	blaTRU	BETA-LACTAM	CARBAPENEM	72	2	74	74
Aeromonas enteropelogenes	0.972972972972973	blaCMY-FOX	NA	NA	NA	NA	0	72	72	74
Aeromonas veronii_A	1	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	38	1	39	39
Aeromonas veronii_A	1	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	39	0	39	39
Aeromonas veronii_A	1	blaOXA-PR	NA	NA	NA	NA	0	39	39	39
Aeromonas veronii_A	0.97435897435897445	bla-B2	NA	NA	NA	NA	0	38	38	39
Aeromonas media	1	blaOXA-427_fam	blaOXA-PR	blaOXA	BETA-LACTAM	CARBAPENEM	21	5	26	26
Aeromonas media	0.9615384615384616	blaMOX	blaCMY-FOX	blaMOX	BETA-LACTAM	CEPHALOSPORIN	8	17	25	26
Aeromonas allosaccharophila	1	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	19	3	22	22
Aeromonas allosaccharophila	1	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	20	2	22	22
Aeromonas media	0.8076923076923077	blaOXA-PR	NA	NA	NA	NA	0	21	21	26
Aeromonas allosaccharophila	0.9090909090909092	blaFOX	blaCMY-FOX	blaFOX	BETA-LACTAM	CEPHALOSPORIN	14	6	20	22
Aeromonas allosaccharophila	0.9090909090909092	blaOXA-PR	NA	NA	NA	NA	0	20	20	22
Aeromonas allosaccharophila	0.8636363636363636	bla-B2	NA	NA	NA	NA	0	19	19	22
Aeromonas taiwanensis	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	14	3	17	17
Aeromonas rivipollensis	1	blaOXA-427_fam	blaOXA-PR	blaOXA	BETA-LACTAM	CARBAPENEM	17	0	17	17
Aeromonas rivipollensis	1	blaOXA-PR	NA	NA	NA	NA	0	17	17	17
Aeromonas jandaei	1	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	15	0	15	15
Aeromonas jandaei	1	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	15	0	15	15
Aeromonas jandaei	1	bla-B2	NA	NA	NA	NA	0	15	15	15
Aeromonas jandaei	1	blaOXA-PR	NA	NA	NA	NA	0	15	15	15
Aeromonas taiwanensis	0.8235294117647058	bla-D	NA	NA	NA	NA	0	14	14	17
Aeromonas sanarellii	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	13	0	13	13
Aeromonas sobria	1	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	13	0	13	13
Aeromonas sanarellii	1	blaMOX	blaCMY-FOX	blaMOX	BETA-LACTAM	CEPHALOSPORIN	13	0	13	13
Aeromonas sobria	1	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	13	0	13	13
Aeromonas sobria	1	bla-B2	NA	NA	NA	NA	0	13	13	13
Aeromonas sanarellii	1	bla-D	NA	NA	NA	NA	0	13	13	13
Aeromonas sanarellii	1	blaCMY-FOX	NA	NA	NA	NA	0	13	13	13
Aeromonas sobria	1	blaOXA-PR	NA	NA	NA	NA	0	13	13	13
Aeromonas bestiarum	1.1428571428571428	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	1	7	8	7
Aeromonas bestiarum	1	cphA1	cphA	cphA1	BETA-LACTAM	CARBAPENEM	7	0	7	7
Aeromonas bestiarum	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	7	0	7	7
Aeromonas bestiarum	1	bla-D	NA	NA	NA	NA	0	7	7	7
Aeromonas piscicola	1	mcr-3_set	pmrC_gen	mcr-3	COLISTIN	COLISTIN	3	3	6	6
Aeromonas piscicola	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	6	0	6	6
Aeromonas piscicola	1	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	3	3	6	6
Aeromonas piscicola	1	bla-D	NA	NA	NA	NA	0	6	6	6
Aeromonas encheleia	1	blaOXA-427_fam	blaOXA-PR	blaOXA	BETA-LACTAM	CARBAPENEM	5	0	5	5
Aeromonas encheleia	1	blaOXA-PR	NA	NA	NA	NA	0	5	5	5
Aeromonas bivalvium	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	3	0	3	3
Aeromonas bivalvium	1	bla-D	NA	NA	NA	NA	0	3	3	3
Aeromonas popoffii	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	2	0	2	2
Aeromonas hydrophila;Aeromonas veronii	2	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	1	1	2	1
Aeromonas popoffii	1	bla-D	NA	NA	NA	NA	0	2	2	2
Aeromonas hydrophila;Aeromonas veronii	2	sul	NA	NA	NA	NA	0	2	2	1
Aeromonas hydrophila;Aeromonas veronii	1	aadA2	ant(3'')-Ia	aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	cepS	blaCMY-FOX	cepS	BETA-LACTAM	CEPHALOSPORIN	1	0	1	1
Aeromonas simiae	1	cmlA5	cmlA	cmlA5	PHENICOL	CHLORAMPHENICOL	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	cphA1	cphA	cphA1	BETA-LACTAM	CARBAPENEM	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	tmexD	RND-IM	tmexD	TETRACYCLINE	TIGECYCLINE	1	0	1	1
Aeromonas simiae	1	aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	mph(A)	mph_gen	mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	1	0	1	1
Aeromonas simiae	1	sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	dfrA12	dfrA12_A21	dfrA12	TRIMETHOPRIM	TRIMETHOPRIM	1	0	1	1
Aeromonas simiae	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Aeromonas simiae	1	tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Aeromonas australiensis	1	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	1	0	1	1
Aeromonas molluscorum	1	cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	1	0	1	1
Aeromonas australiensis	1	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Aeromonas fluvialis	1	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Aeromonas eucrenophila	1	blaOXA-427_fam	blaOXA-PR	blaOXA	BETA-LACTAM	CARBAPENEM	1	0	1	1
Aeromonas simiae	1	blaOXA-10	blaOXA-10_fam	blaOXA-10	BETA-LACTAM	CEPHALOSPORIN	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	tmexC2	tmexC	tmexC2	TETRACYCLINE	TIGECYCLINE	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	toprJ2	toprJ	toprJ2	TETRACYCLINE	TIGECYCLINE	1	0	1	1
Aeromonas hydrophila;Aeromonas veronii	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	ant(3'')-Ia	NA	NA	NA	NA	0	1	1	1
Aeromonas simiae	1	ant(3'')-Ia	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	aph(3'')	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	aph(3')-I	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	aph(6)-I	NA	NA	NA	NA	0	1	1	1
Aeromonas australiensis	1	bla-B2	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	bla-B2	NA	NA	NA	NA	0	1	1	1
Aeromonas molluscorum	1	bla-B2	NA	NA	NA	NA	0	1	1	1
Aeromonas simiae	1	bla-D	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	blaCMY-FOX	NA	NA	NA	NA	0	1	1	1
Aeromonas simiae	1	blaOXA-10_fam	NA	NA	NA	NA	0	1	1	1
Aeromonas australiensis	1	blaOXA-PR	NA	NA	NA	NA	0	1	1	1
Aeromonas eucrenophila	1	blaOXA-PR	NA	NA	NA	NA	0	1	1	1
Aeromonas fluvialis	1	blaOXA-PR	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	blaOXA-PR	NA	NA	NA	NA	0	1	1	1
Aeromonas simiae	1	cmlA	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	dfrA12_A21	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	mph_gen	NA	NA	NA	NA	0	1	1	1
Aeromonas simiae	1	sul	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	tet_A_B_C_D	NA	NA	NA	NA	0	1	1	1
Aeromonas simiae	1	tet_A_B_C_D	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	tmexC	NA	NA	NA	NA	0	1	1	1
Aeromonas hydrophila;Aeromonas veronii	1	toprJ	NA	NA	NA	NA	0	1	1	1
Bordetella hinzii	0.984126984126984	blaHBL	bla-A	blaHBL	BETA-LACTAM	BETA-LACTAM	5	57	62	63
Bordetella hinzii	0.9047619047619048	blaHBL-1	blaHBL	blaHBL-1	BETA-LACTAM	BETA-LACTAM	57	0	57	63
Bordetella pseudohinzii	1	blaHBL	bla-A	blaHBL	BETA-LACTAM	BETA-LACTAM	7	0	7	7
Bordetella pseudohinzii	1	bla-A	NA	NA	NA	NA	0	7	7	7
Bordetella_C sp021325795	1	aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	1	0	1	1
Bordetella_C sp002261215	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Bordetella_C sp021325795	1	blaTEM-181	blaTEM	blaTEM-181	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Bordetella_C sp021325795	1	aph(3')-I	NA	NA	NA	NA	0	1	1	1
Bordetella_C sp002261215	1	bla-D	NA	NA	NA	NA	0	1	1	1
Bordetella_C sp021325795	1	blaTEM	NA	NA	NA	NA	0	1	1	1
Brucella melitensis	1.9968203497615264	RND-peri	NA	NA	NA	NA	0	5024	5024	2516
Brucella melitensis	1.983704292527822	RND-IM	NA	NA	NA	NA	0	4991	4991	2516
Brucella melitensis	0.9988076311605724	bepD	RND-peri	bepD	EFFLUX	EFFLUX	2513	0	2513	2516
Brucella melitensis	0.998012718600954	bepF	RND-peri	bepF	EFFLUX	EFFLUX	2511	0	2511	2516
Brucella melitensis	0.9972178060413356	bepE	RND-IM	bepE	EFFLUX	EFFLUX	2509	0	2509	2516
Brucella melitensis	0.9916534181240064	bepC	RND-OM	bepC	EFFLUX	EFFLUX	2495	0	2495	2516
Brucella melitensis	0.9916534181240064	RND-OM	NA	NA	NA	NA	0	2495	2495	2516
Brucella melitensis	0.9864864864864864	bepG	RND-IM	bepG	EFFLUX	EFFLUX	2482	0	2482	2516
Burkholderia cepacia	1	blaPEN-bcc	blaPEN	blaPEN-bcc	BETA-LACTAM	BETA-LACTAM	233	0	233	233
Burkholderia cepacia	1	norM	NA	norM	EFFLUX	EFFLUX	233	0	233	233
Burkholderia cepacia	1	blaPEN	NA	NA	NA	NA	0	233	233	233
Burkholderia cepacia_F	1	blaPEN-bcc	blaPEN	blaPEN-bcc	BETA-LACTAM	BETA-LACTAM	5	0	5	5
Burkholderia cepacia_F	1	norM	NA	norM	EFFLUX	EFFLUX	5	0	5	5
Burkholderia cepacia_F	1	blaPEN	NA	NA	NA	NA	0	5	5	5
Burkholderia mallei	0.9984375	blaPEN-I	blaPEN-bpc	blaPEN-I	BETA-LACTAM	BETA-LACTAM	5112	0	5112	5120
Burkholderia mallei	0.9984375	blaPEN-bpc	NA	NA	NA	NA	0	5112	5112	5120
Burkholderia mallei	0.9958984375	aac(6')-III	aac(6')_E	aac(6')-III	AMINOGLYCOSIDE	TOBRAMYCIN	5099	0	5099	5120
Burkholderia mallei	0.9958984375	aac(6')_E	NA	NA	NA	NA	0	5099	5099	5120
Burkholderia mallei	0.9732421875	blaOXA-42_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	1905	3078	4983	5120
Campylobacter_D jejuni_A	1	gyrA	NA	gyrA_P104S	QUINOLONE	QUINOLONE	95	0	95	95
Campylobacter sp002139915	0.8035714285714286	tet(O)	tet(M-W-O-S)	tet(O)	TETRACYCLINE	TETRACYCLINE	45	0	45	56
Campylobacter sp002139915	0.8035714285714286	tet(M-W-O-S)	NA	NA	NA	NA	0	45	45	56
Campylobacter_D volucris	0.9285714285714286	gyrA	NA	gyrA_T86V	QUINOLONE	QUINOLONE	13	0	13	14
Campylobacter_D peloridis	1	gyrA	NA	gyrA_T86V	QUINOLONE	QUINOLONE	4	0	4	4
Campylobacter_D sp003627915	1	blaOXA-493_fam	blaOXA_Campy	blaOXA	BETA-LACTAM	BETA-LACTAM	3	0	3	3
Campylobacter_D subantarcticus	1	gyrA	NA	gyrA_T86V	QUINOLONE	QUINOLONE	3	0	3	3
Campylobacter_D sp003627915	1	blaOXA_Campy	NA	NA	NA	NA	0	3	3	3
Campylobacter sp945873855	1	ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	2	0	2	2
Campylobacter sp945873855	1	spw	ant(9)	spw	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2	0	2	2
Campylobacter sp945873855	1	tet(O)	tet(M-W-O-S)	tet(O)	TETRACYCLINE	TETRACYCLINE	2	0	2	2
Campylobacter_D jejuni_D	1	tet(O)	tet(M-W-O-S)	tet(O)	TETRACYCLINE	TETRACYCLINE	2	0	2	2
Campylobacter_D jejuni_D	1	gyrA	NA	gyrA_T86I	QUINOLONE	QUINOLONE	2	0	2	2
Campylobacter_D volucris_A	1	gyrA	NA	gyrA_T86V	QUINOLONE	QUINOLONE	2	0	2	2
Campylobacter_D coli;Escherichia coli	2	MFS_efflux	NA	NA	NA	NA	0	2	2	1
Campylobacter sp945873855	1	ant(6)	NA	NA	NA	NA	0	2	2	2
Campylobacter sp945873855	1	ant(9)	NA	NA	NA	NA	0	2	2	2
Campylobacter sp945873855	1	tet(M-W-O-S)	NA	NA	NA	NA	0	2	2	2
Campylobacter_D jejuni_D	1	tet(M-W-O-S)	NA	NA	NA	NA	0	2	2	2
Campylobacter_D coli;Escherichia coli	1	acrF	RND-IM	acrF	EFFLUX	EFFLUX	1	0	1	1
Campylobacter_D coli;Escherichia coli	1	emrD	MFS_efflux	emrD	EFFLUX	EFFLUX	1	0	1	1
Campylobacter_D jejuni;Salmonella enterica	1	mdsA	RND-peri	mdsA	EFFLUX	EFFLUX	1	0	1	1
Campylobacter_D jejuni;Salmonella enterica	1	mdsB	RND-IM	mdsB	EFFLUX	EFFLUX	1	0	1	1
Campylobacter_D coli;Escherichia coli	1	mdtM	MFS_efflux	mdtM	EFFLUX	EFFLUX	1	0	1	1
Campylobacter_D jejuni;Salmonella enterica	1	tet(O)	tet(M-W-O-S)	tet(O)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Campylobacter_D coli;Escherichia coli	1	blaEC	CMY2-MIR-ACT-EC	blaEC	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Campylobacter_D jejuni;Salmonella enterica	1	tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	1	0	1	1
Campylobacter_D coli;Escherichia coli	1	blaOXA-193	blaOXA-61_fam	blaOXA-193	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Campylobacter_D jejuni;Salmonella enterica	1	blaOXA-193	blaOXA-61_fam	blaOXA-193	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Campylobacter infans	1	blaOXA-471	blaOXA-63_fam	blaOXA-471	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Campylobacter_D jejuni;Salmonella enterica	1	blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Campylobacter_D insulaenigrae	1	gyrA	NA	gyrA_T86V	QUINOLONE	QUINOLONE	1	0	1	1
Campylobacter_A sp905120475	1	rpsL	NA	rpsL_K88R	AMINOGLYCOSIDE	STREPTOMYCIN	1	0	1	1
Campylobacter_D coli;Escherichia coli	1	CMY2-MIR-ACT-EC	NA	NA	NA	NA	0	1	1	1
Campylobacter_D coli;Escherichia coli	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Campylobacter_D jejuni;Salmonella enterica	1	RND-IM	NA	NA	NA	NA	0	1	1	1
Campylobacter_D jejuni;Salmonella enterica	1	RND-peri	NA	NA	NA	NA	0	1	1	1
Campylobacter_D coli;Escherichia coli	1	blaOXA-61_fam	NA	NA	NA	NA	0	1	1	1
Campylobacter_D jejuni;Salmonella enterica	1	blaOXA-61_fam	NA	NA	NA	NA	0	1	1	1
Campylobacter infans	1	blaOXA-63_fam	NA	NA	NA	NA	0	1	1	1
Campylobacter_D jejuni;Salmonella enterica	1	blaTEM	NA	NA	NA	NA	0	1	1	1
Campylobacter_D jejuni;Salmonella enterica	1	tet(M-W-O-S)	NA	NA	NA	NA	0	1	1	1
Campylobacter_D jejuni;Salmonella enterica	1	tet_A_B_C_D	NA	NA	NA	NA	0	1	1	1
Chryseobacterium indologenes	1	blaCIA	bla-A_Chryseo	blaCIA	BETA-LACTAM	CEPHALOSPORIN	2	6	8	8
Chryseobacterium indologenes	1	blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	1	7	8	8
Chryseobacterium arthrosphaerae	1	blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	6	0	6	6
Chryseobacterium arthrosphaerae	1	blaB-IND-MUS	NA	NA	NA	NA	0	6	6	6
