Gene symbol	Class	Subclass	Element type	n	freq
qnrB19	QUINOLONE	QUINOLONE	AMR	9481	0.018037162528513024
gyrA_S83Y	QUINOLONE	QUINOLONE	AMR	8853	0.016842421671229384
dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	AMR	8749	0.016644566497411712
blaCARB-2	BETA-LACTAM	BETA-LACTAM	AMR	8401	0.015982512646560268
fosA7.2	FOSFOMYCIN	FOSFOMYCIN	AMR	7882	0.014995139231066306
dfrA7	TRIMETHOPRIM	TRIMETHOPRIM	AMR	6618	0.012590437887743822
blaCTX-M-65	BETA-LACTAM	CEPHALOSPORIN	AMR	6267	0.011922676676109177
dfrA12	TRIMETHOPRIM	TRIMETHOPRIM	AMR	6249	0.011888432511409966
tet(G)	TETRACYCLINE	TETRACYCLINE	AMR	6010	0.0114337461023482
qnrS1	QUINOLONE	QUINOLONE	AMR	5598	0.01064993522145511
sul3	SULFONAMIDE	SULFONAMIDE	AMR	5326	0.010132467843778121
mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	AMR	4700	0.008941531893683283
cmlA1	PHENICOL	CHLORAMPHENICOL	AMR	4409	0.00838791789771268
parC_S80I	QUINOLONE	QUINOLONE	AMR	3791	0.007212201576373048
fosA7.3	FOSFOMYCIN	FOSFOMYCIN	AMR	3710	0.007058102835226592
gyrA_D87G	QUINOLONE/TRICLOSAN	QUINOLONE/TRICLOSAN	AMR	3651	0.00694585807315695
aac(3)-VIa	AMINOGLYCOSIDE	GENTAMICIN	AMR	3466	0.006593904158192821
fosA3	FOSFOMYCIN	FOSFOMYCIN	AMR	3116	0.005928045400152577
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	AMR	3066	0.005832922720432542
blaTEM	BETA-LACTAM	BETA-LACTAM	AMR	2971	0.005652189628964475
tet(C)	TETRACYCLINE	TETRACYCLINE	AMR	2584	0.004915940087931405
tet(M)	TETRACYCLINE	TETRACYCLINE	AMR	2552	0.004855061572910583
aadA7	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	2486	0.004729499635680137
qnrA1	QUINOLONE	QUINOLONE	AMR	2210	0.004204422443625544
bleO	BLEOMYCIN	BLEOMYCIN	AMR	1839	0.003498612160102885
blaCTX-M-15	BETA-LACTAM	CEPHALOSPORIN	AMR	1801	0.0034263189235156583
aph(3')-IIa	AMINOGLYCOSIDE	KANAMYCIN	AMR	1770	0.0033673428620892365
mcr-9.1	COLISTIN	COLISTIN	AMR	1684	0.0032037318529707765
aac(3)-Id	AMINOGLYCOSIDE	GENTAMICIN	AMR	1668	0.0031732925954603653
catA2	PHENICOL	CHLORAMPHENICOL	AMR	1590	0.0030249012150971107
ble	BLEOMYCIN	BLEOMYCIN	AMR	1564	0.0029754374216426926
blaOXA-1	BETA-LACTAM	CEPHALOSPORIN	AMR	1499	0.002851777938006647
lnu(F)	LINCOSAMIDE	LINCOSAMIDE	AMR	1494	0.0028422656700346437
ant(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	1428	0.0027167037328041975
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	AMR	1221	0.002322895838763253
aadA5	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	1027	0.0019538198414495176
fosA7.4	FOSFOMYCIN	FOSFOMYCIN	AMR	1024	0.0019481124806663155
aph(6)-Ic	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	1003	0.0019081609551839006
dfrA17	TRIMETHOPRIM	TRIMETHOPRIM	AMR	995	0.001892941326428695
catB3	PHENICOL	CHLORAMPHENICOL	AMR	977	0.0018586971617294825
cmlA5	PHENICOL	CHLORAMPHENICOL	AMR	938	0.0017845014715478552
blaCTX-M-55	BETA-LACTAM	CEPHALOSPORIN	AMR	895	0.0017026959669886252
arr-3	RIFAMYCIN	RIFAMYCIN	AMR	894	0.0017007935133942246
oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	AMR	873	0.0016608419879118098
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	AMR	864	0.0016437199055622036
tet(D)	TETRACYCLINE	TETRACYCLINE	AMR	850	0.0016170855552405938
sat2	STREPTOTHRICIN	STREPTOTHRICIN	AMR	840	0.001598061019296587
blaTEM-135	BETA-LACTAM	BETA-LACTAM	AMR	833	0.001584743844135782
oqxA	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	AMR	805	0.0015314751434925623
arr-2	RIFAMYCIN	RIFAMYCIN	AMR	775	0.0014744015356605415
dfrA5	TRIMETHOPRIM	TRIMETHOPRIM	AMR	753	0.001432547556583726
ere(A)	MACROLIDE	ERYTHROMYCIN	AMR	752	0.0014306451029893253
arr	RIFAMYCIN	RIFAMYCIN	AMR	711	0.0013526445056188966
blaTEM-57	BETA-LACTAM	BETA-LACTAM	AMR	692	0.0013164978873252834
blaSHV-12	BETA-LACTAM	CEPHALOSPORIN	AMR	669	0.0012727414546540674
dfrA19	TRIMETHOPRIM	TRIMETHOPRIM	AMR	647	0.001230887475577252
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	617	0.001173813867745231
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	AMR	613	0.0011662040533676281
dfrA23	TRIMETHOPRIM	TRIMETHOPRIM	AMR	608	0.0011566917853956247
fosA7.7	FOSFOMYCIN	FOSFOMYCIN	AMR	602	0.0011452770638292204
dfrA15	TRIMETHOPRIM	TRIMETHOPRIM	AMR	597	0.001135764795857217
fosA7.8	FOSFOMYCIN	FOSFOMYCIN	AMR	593	0.0011281549814796143
aadA22	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	567	0.001078691188025196
fosA7.6	FOSFOMYCIN	FOSFOMYCIN	AMR	564	0.001072983827241994
grdA	AMINOGLYCOSIDE	GENTAMICIN	AMR	560	0.0010653740128643912
blaOXA-10	BETA-LACTAM	CEPHALOSPORIN	AMR	530	0.0010083004050323702
qnrB	QUINOLONE	QUINOLONE	AMR	499	9.493243436059486e-4
aadA6	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	496	9.436169828227465e-4
mcr-1.1	COLISTIN	COLISTIN	AMR	481	9.15080178906736e-4
blaCTX-M-1	BETA-LACTAM	CEPHALOSPORIN	AMR	469	8.922507357739276e-4
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	AMR	460	8.751286534243214e-4
blaCTX-M-14	BETA-LACTAM	CEPHALOSPORIN	AMR	459	8.732261998299207e-4
gyrB_S464F	QUINOLONE	QUINOLONE	AMR	452	8.599090246691158e-4
aac(2')-IIa	AMINOGLYCOSIDE	KASUGAMYCIN	AMR	436	8.294697671587046e-4
dfrA34	TRIMETHOPRIM	TRIMETHOPRIM	AMR	404	7.685912521378822e-4
qnrB2	QUINOLONE	QUINOLONE	AMR	404	7.685912521378822e-4
blaTEM-116	BETA-LACTAM	BETA-LACTAM	AMR	398	7.571765305714781e-4
lnu(G)	LINCOSAMIDE	LINCOSAMIDE	AMR	396	7.533716233826766e-4
blaCMY	BETA-LACTAM	CEPHALOSPORIN	AMR	394	7.495667161938753e-4
dfrA8	TRIMETHOPRIM	TRIMETHOPRIM	AMR	391	7.438593554106731e-4
gyrB_E466D	QUINOLONE	QUINOLONE	AMR	358	6.8107838679545e-4
aadA12	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	349	6.639563044458438e-4
aadA16	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	322	6.12590057397025e-4
dfrA27	TRIMETHOPRIM	TRIMETHOPRIM	AMR	321	6.106876038026243e-4
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	307	5.840532534810145e-4
blaLAP-2	BETA-LACTAM	BETA-LACTAM	AMR	302	5.74540985509011e-4
qnrB1	QUINOLONE	QUINOLONE	AMR	282	5.36491913620997e-4
qnrS2	QUINOLONE	QUINOLONE	AMR	274	5.212722848657914e-4
parC_S80R	QUINOLONE	QUINOLONE	AMR	273	5.193698312713907e-4
tet(O)	TETRACYCLINE	TETRACYCLINE	AMR	273	5.193698312713907e-4
blaHER-3	BETA-LACTAM	BETA-LACTAM	AMR	267	5.079551097049866e-4
mef(B)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	AMR	266	5.060526561105858e-4
acrB_R717L	MACROLIDE	AZITHROMYCIN	AMR	243	4.6229622343936977e-4
ramR_T18P	MULTIDRUG	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	AMR	230	4.375643267121607e-4
blaSCO-1	BETA-LACTAM	BETA-LACTAM	AMR	223	4.2424715155135577e-4
qnrB6	QUINOLONE	QUINOLONE	AMR	219	4.16637337173753e-4
mph(B)	MACROLIDE	ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	AMR	210	3.9951525482414673e-4
acrB_R717Q	MACROLIDE	AZITHROMYCIN	AMR	206	3.919054404465439e-4
gyrB_S464Y	QUINOLONE	QUINOLONE	AMR	196	3.728809045025369e-4
mph(E)	MACROLIDE	ERYTHROMYCIN	AMR	194	3.690759973137355e-4
msr(E)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	AMR	194	3.690759973137355e-4
mcr-9.2	COLISTIN	COLISTIN	AMR	193	3.6717354371933484e-4
blaCTX-M-9	BETA-LACTAM	CEPHALOSPORIN	AMR	182	3.4624655418092715e-4
qnrS13	QUINOLONE	QUINOLONE	AMR	181	3.443441005865264e-4
blaDHA-1	BETA-LACTAM	CEPHALOSPORIN	AMR	179	3.40539193397725e-4
armA	AMINOGLYCOSIDE	GENTAMICIN	AMR	169	3.2151465745371805e-4
erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	AMR	162	3.0819748229291314e-4
aadA25	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	153	2.910753999433069e-4
dfrA16	TRIMETHOPRIM	TRIMETHOPRIM	AMR	152	2.8917294634890617e-4
qnrB4	QUINOLONE	QUINOLONE	AMR	150	2.853680391601048e-4
parC_E84G	QUINOLONE	QUINOLONE	AMR	139	2.644410496216971e-4
blaCTX-M	BETA-LACTAM	CEPHALOSPORIN	AMR	138	2.625385960272964e-4
rmtB1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	133	2.530263280552929e-4
blaSCO	BETA-LACTAM	BETA-LACTAM	AMR	132	2.511238744608922e-4
qnrD1	QUINOLONE	QUINOLONE	AMR	125	2.378066993000873e-4
blaOXA-2	BETA-LACTAM	BETA-LACTAM	AMR	119	2.2639197773368313e-4
aac(3)-IV	AMINOGLYCOSIDE	GENTAMICIN	AMR	104	1.9785517381767264e-4
blaTEM-176	BETA-LACTAM	BETA-LACTAM	AMR	104	1.9785517381767264e-4
blaCTX-M-2	BETA-LACTAM	CEPHALOSPORIN	AMR	103	1.9595272022327194e-4
estT	MACROLIDE	TYLOSIN	AMR	98	1.8644045225126845e-4
mcr-3.1	COLISTIN	COLISTIN	AMR	95	1.8073309146806636e-4
erm(42)	LINCOSAMIDE/MACROLIDE	CLINDAMYCIN/ERYTHROMYCIN	AMR	92	1.7502573068486427e-4
rmtE1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	90	1.7122082349606288e-4
aadA13	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	88	1.6741591630726148e-4
blaCTX-M-3	BETA-LACTAM	CEPHALOSPORIN	AMR	88	1.6741591630726148e-4
fosA4	FOSFOMYCIN	FOSFOMYCIN	AMR	88	1.6741591630726148e-4
blaTEM-32	BETA-LACTAM	BETA-LACTAM	AMR	84	1.598061019296587e-4
floR2	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	AMR	84	1.598061019296587e-4
qnrB7	QUINOLONE	QUINOLONE	AMR	77	1.4648892676885378e-4
mcr-9	COLISTIN	COLISTIN	AMR	73	1.38879112391251e-4
blaSHV-2A	BETA-LACTAM	CEPHALOSPORIN	AMR	70	1.331717516080489e-4
ramR_G25A	MULTIDRUG	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	AMR	68	1.293668444192475e-4
oqxA2	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	AMR	67	1.274643908248468e-4
qnrS	QUINOLONE	QUINOLONE	AMR	66	1.255619372304461e-4
dfrA32	TRIMETHOPRIM	TRIMETHOPRIM	AMR	65	1.236594836360454e-4
blaCTX-M-8	BETA-LACTAM	CEPHALOSPORIN	AMR	64	1.2175703004164472e-4
aadA4	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	54	1.0273249409763773e-4
mcr-5.1	COLISTIN	COLISTIN	AMR	53	1.0083004050323703e-4
blaTEM-215	BETA-LACTAM	BETA-LACTAM	AMR	51	9.702513331443562e-5
fosA	FOSFOMYCIN	FOSFOMYCIN	AMR	51	9.702513331443562e-5
blaCTX-M-27	BETA-LACTAM	CEPHALOSPORIN	AMR	50	9.512267972003492e-5
blaOXA-48	BETA-LACTAM	CARBAPENEM	AMR	49	9.322022612563423e-5
parC_E84K	QUINOLONE	QUINOLONE	AMR	49	9.322022612563423e-5
pmrB_V161G	COLISTIN	COLISTIN	AMR	49	9.322022612563423e-5
aadA15	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	48	9.131777253123353e-5
ramR_T50P	MULTIDRUG	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	AMR	43	8.180550455923004e-5
qnrA	QUINOLONE	QUINOLONE	AMR	42	7.990305096482935e-5
dfrA25	TRIMETHOPRIM	TRIMETHOPRIM	AMR	40	7.609814377602794e-5
cmlA6	PHENICOL	CHLORAMPHENICOL	AMR	39	7.419569018162724e-5
dfrA21	TRIMETHOPRIM	TRIMETHOPRIM	AMR	39	7.419569018162724e-5
oqxB2	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	AMR	38	7.229323658722654e-5
blaTEM-30	BETA-LACTAM	BETA-LACTAM	AMR	37	7.039078299282584e-5
qnrB77	QUINOLONE	QUINOLONE	AMR	35	6.658587580402445e-5
dfrA29	TRIMETHOPRIM	TRIMETHOPRIM	AMR	34	6.468342220962375e-5
blaCMY-4	BETA-LACTAM	CEPHALOSPORIN	AMR	33	6.278096861522306e-5
blaNDM-1	BETA-LACTAM	CARBAPENEM	AMR	33	6.278096861522306e-5
blaACC-1	BETA-LACTAM	CEPHALOSPORIN	AMR	32	6.087851502082236e-5
dfrA10	TRIMETHOPRIM	TRIMETHOPRIM	AMR	32	6.087851502082236e-5
blaOXA	BETA-LACTAM	BETA-LACTAM	AMR	30	5.7073607832020956e-5
blaSHV-5	BETA-LACTAM	CEPHALOSPORIN	AMR	30	5.7073607832020956e-5
blaVIM-1	BETA-LACTAM	CARBAPENEM	AMR	30	5.7073607832020956e-5
qnrS4	QUINOLONE	QUINOLONE	AMR	30	5.7073607832020956e-5
aph(3')-Id	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	29	5.517115423762026e-5
blaOXA-9	BETA-LACTAM	BETA-LACTAM	AMR	29	5.517115423762026e-5
blaSHV	BETA-LACTAM	BETA-LACTAM	AMR	28	5.326870064321956e-5
cmlA4	PHENICOL	CHLORAMPHENICOL	AMR	28	5.326870064321956e-5
gyrA_S83I	QUINOLONE	QUINOLONE	AMR	28	5.326870064321956e-5
fosA8	FOSFOMYCIN	FOSFOMYCIN	AMR	27	5.1366247048818864e-5
lnu(A)	LINCOSAMIDE	LINCOSAMIDE	AMR	26	4.946379345441816e-5
mef(C)	MACROLIDE	ERYTHROMYCIN	AMR	26	4.946379345441816e-5
mph(G)	MACROLIDE	ERYTHROMYCIN	AMR	26	4.946379345441816e-5
parE_S458P	QUINOLONE	QUINOLONE	AMR	26	4.946379345441816e-5
blaCTX-M-165	BETA-LACTAM	CEPHALOSPORIN	AMR	25	4.756133986001746e-5
gyrA_A119E	QUINOLONE	QUINOLONE	AMR	25	4.756133986001746e-5
gyrA_D82N	QUINOLONE	QUINOLONE	AMR	25	4.756133986001746e-5
aadA31	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	24	4.5658886265616765e-5
blaTEM-52	BETA-LACTAM	CEPHALOSPORIN	AMR	24	4.5658886265616765e-5
blaTEM-181	BETA-LACTAM	BETA-LACTAM	AMR	23	4.375643267121607e-5
qnrE1	QUINOLONE	QUINOLONE	AMR	23	4.375643267121607e-5
tet(X4)	TETRACYCLINE	TIGECYCLINE	AMR	23	4.375643267121607e-5
blaSHV-7	BETA-LACTAM	CEPHALOSPORIN	AMR	22	4.185397907681537e-5
blaTEM-103	BETA-LACTAM	BETA-LACTAM	AMR	22	4.185397907681537e-5
blaCTX-M-5	BETA-LACTAM	CEPHALOSPORIN	AMR	21	3.995152548241467e-5
blaTEM-171	BETA-LACTAM	BETA-LACTAM	AMR	21	3.995152548241467e-5
dfrI	TRIMETHOPRIM	TRIMETHOPRIM	AMR	21	3.995152548241467e-5
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	20	3.804907188801397e-5
aadA8	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	19	3.614661829361327e-5
fosA7.5	FOSFOMYCIN	FOSFOMYCIN	AMR	19	3.614661829361327e-5
fosL1	FOSFOMYCIN	FOSFOMYCIN	AMR	19	3.614661829361327e-5
qnrB9	QUINOLONE	QUINOLONE	AMR	19	3.614661829361327e-5
blaCTX-M-104	BETA-LACTAM	CEPHALOSPORIN	AMR	18	3.4244164699212574e-5
gyrA_G81D	QUINOLONE	QUINOLONE	AMR	18	3.4244164699212574e-5
parC_G78D	QUINOLONE	QUINOLONE	AMR	18	3.4244164699212574e-5
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	16	3.043925751041118e-5
blaTEM-131	BETA-LACTAM	CEPHALOSPORIN	AMR	16	3.043925751041118e-5
qepA8	QUINOLONE	QUINOLONE	AMR	16	3.043925751041118e-5
blaCTX-M-123	BETA-LACTAM	CEPHALOSPORIN	AMR	15	2.8536803916010478e-5
mcr-4.6	COLISTIN	COLISTIN	AMR	15	2.8536803916010478e-5
dfrA	TRIMETHOPRIM	TRIMETHOPRIM	AMR	14	2.663435032160978e-5
mcr-3.2	COLISTIN	COLISTIN	AMR	14	2.663435032160978e-5
qnrD	QUINOLONE	QUINOLONE	AMR	14	2.663435032160978e-5
qnrD2	QUINOLONE	QUINOLONE	AMR	14	2.663435032160978e-5
aac(6')-Ib-cr4	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	AMR	13	2.473189672720908e-5
blaCTX-M-115	BETA-LACTAM	CEPHALOSPORIN	AMR	13	2.473189672720908e-5
blaHER	BETA-LACTAM	BETA-LACTAM	AMR	13	2.473189672720908e-5
gyrA_G81C	QUINOLONE	QUINOLONE	AMR	13	2.473189672720908e-5
aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	12	2.2829443132808383e-05
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	AMR	12	2.2829443132808383e-05
blaEC	BETA-LACTAM	BETA-LACTAM	AMR	12	2.2829443132808383e-05
dfrB3	TRIMETHOPRIM	TRIMETHOPRIM	AMR	12	2.2829443132808383e-05
erm(C)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	AMR	12	2.2829443132808383e-05
gyrA_S83A	QUINOLONE	QUINOLONE	AMR	12	2.2829443132808383e-05
tet(W)	TETRACYCLINE	TETRACYCLINE	AMR	12	2.2829443132808383e-05
aac(6')-Il	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	11	2.0926989538407685e-5
blaOXA-17	BETA-LACTAM	CEPHALOSPORIN	AMR	11	2.0926989538407685e-5
blaOXA-4	BETA-LACTAM	BETA-LACTAM	AMR	11	2.0926989538407685e-5
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	AMR	10	1.9024535944006984e-5
aadA3	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	10	1.9024535944006984e-5
blaDHA	BETA-LACTAM	CEPHALOSPORIN	AMR	10	1.9024535944006984e-5
dfrB1	TRIMETHOPRIM	TRIMETHOPRIM	AMR	10	1.9024535944006984e-5
mcr-1	COLISTIN	COLISTIN	AMR	10	1.9024535944006984e-5
qepA1	QUINOLONE	QUINOLONE	AMR	10	1.9024535944006984e-5
ramR_M84I	MULTIDRUG	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	AMR	10	1.9024535944006984e-5
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	AMR	9	1.7122082349606287e-5
aadA11	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	9	1.7122082349606287e-5
blaCTX-M-32	BETA-LACTAM	CEPHALOSPORIN	AMR	9	1.7122082349606287e-5
blaPSE	BETA-LACTAM	BETA-LACTAM	AMR	9	1.7122082349606287e-5
blaTEM-63	BETA-LACTAM	CEPHALOSPORIN	AMR	9	1.7122082349606287e-5
catB	PHENICOL	CHLORAMPHENICOL	AMR	9	1.7122082349606287e-5
dfrA36	TRIMETHOPRIM	TRIMETHOPRIM	AMR	9	1.7122082349606287e-5
erm(49)	LINCOSAMIDE/MACROLIDE	CLINDAMYCIN/ERYTHROMYCIN	AMR	9	1.7122082349606287e-5
fosL2	FOSFOMYCIN	FOSFOMYCIN	AMR	9	1.7122082349606287e-5
qnrE2	QUINOLONE	QUINOLONE	AMR	9	1.7122082349606287e-5
cmlA	PHENICOL	CHLORAMPHENICOL	AMR	8	1.521962875520559e-5
mcr-3.20	COLISTIN	COLISTIN	AMR	8	1.521962875520559e-5
mcr-4.2	COLISTIN	COLISTIN	AMR	8	1.521962875520559e-5
mcr-5	COLISTIN	COLISTIN	AMR	8	1.521962875520559e-5
aac(3)-II	AMINOGLYCOSIDE	GENTAMICIN	AMR	7	1.331717516080489e-5
aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	7	1.331717516080489e-5
aph(3')-Ib	AMINOGLYCOSIDE	KANAMYCIN	AMR	7	1.331717516080489e-5
aph(3')-VI	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	7	1.331717516080489e-5
blaCMY-16	BETA-LACTAM	CEPHALOSPORIN	AMR	7	1.331717516080489e-5
blaLAP	BETA-LACTAM	BETA-LACTAM	AMR	7	1.331717516080489e-5
blaNDM-9	BETA-LACTAM	CARBAPENEM/TANIBORBACTAM	AMR	7	1.331717516080489e-5
blaSHV-2	BETA-LACTAM	CEPHALOSPORIN	AMR	7	1.331717516080489e-5
blaTEM-40	BETA-LACTAM	BETA-LACTAM	AMR	7	1.331717516080489e-5
cfr	PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN	CHLORAMPHENICOL/CLINDAMYCIN/FLORFENICOL/LINEZOLID/STREPTOGRAMIN B/TIAMULIN/VIRGINIAMYCIN	AMR	7	1.331717516080489e-5
mcr-1.26	COLISTIN	COLISTIN	AMR	7	1.331717516080489e-5
mcr-3	COLISTIN	COLISTIN	AMR	7	1.331717516080489e-5
pmrA_R81H	COLISTIN	COLISTIN	AMR	7	1.331717516080489e-5
qnrS11	QUINOLONE	QUINOLONE	AMR	7	1.331717516080489e-5
qnrVC	QUINOLONE	QUINOLONE	AMR	7	1.331717516080489e-5
tet(32)	TETRACYCLINE	TETRACYCLINE	AMR	7	1.331717516080489e-5
tet(Y)	TETRACYCLINE	TETRACYCLINE	AMR	7	1.331717516080489e-5
blaCTX-M-130	BETA-LACTAM	CEPHALOSPORIN	AMR	6	1.1414721566404191e-5
blaNDM-5	BETA-LACTAM	CARBAPENEM	AMR	6	1.1414721566404191e-5
blaTEM-190	BETA-LACTAM	BETA-LACTAM	AMR	6	1.1414721566404191e-5
catA3	PHENICOL	CHLORAMPHENICOL	AMR	6	1.1414721566404191e-5
gyrB_S464T	QUINOLONE	QUINOLONE	AMR	6	1.1414721566404191e-5
pmrB_G206R	COLISTIN	COLISTIN	AMR	6	1.1414721566404191e-5
pmrB_S124P	COLISTIN	COLISTIN	AMR	6	1.1414721566404191e-5
ramR_Y59H	MULTIDRUG	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	AMR	6	1.1414721566404191e-5
tet(X5)	TETRACYCLINE	TIGECYCLINE	AMR	6	1.1414721566404191e-5
aac(3)-C322	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	5	9.512267972003492e-6
aac(6')-Ian	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	5	9.512267972003492e-6
aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	AMR	5	9.512267972003492e-6
aph(3')-I(H957)	AMINOGLYCOSIDE	KANAMYCIN	AMR	5	9.512267972003492e-6
aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	5	9.512267972003492e-6
