parent_node_id	Class	Subclass	Species	complex	Element type	n	nspp	freq
CDF_efflux	NA	NA	Enterobacter quasihormaechei	NA	STRESS	23	23	1
CDF_efflux	NA	NA	Enterobacter roggenkampii	NA	STRESS	509	509	1
CDF_efflux	NA	NA	Enterobacter sichuanensis	NA	STRESS	61	61	1
CDF_efflux	NA	NA	Enterobacter soli	NA	STRESS	23	23	1
CDF_efflux	NA	NA	Enterobacter sp000493015	NA	STRESS	3	4	0.75
CDF_efflux	NA	NA	Enterobacter sp000568095	NA	STRESS	8	8	1
CDF_efflux	NA	NA	Enterobacter sp003057745	NA	STRESS	2	2	1
CDF_efflux	NA	NA	Enterobacter sp013927005	NA	STRESS	11	11	1
CDF_efflux	NA	NA	Enterobacter vonholyi	NA	STRESS	18	18	1
CDF_efflux	NA	NA	Enterobacter wuhouensis	NA	STRESS	1	1	1
CDF_efflux	NA	NA	Enterobacter_A timonensis	NA	STRESS	3	3	1
CDF_efflux	NA	NA	Enterobacter_B lignolyticus	NA	STRESS	3	3	1
CDF_efflux	NA	NA	Enterobacter_D kobei_A	NA	STRESS	4	4	1
CDF_efflux	NA	NA	Enterobacter_D sp001888805	NA	STRESS	1	1	1
CDF_efflux	NA	NA	Enterobacter_D sp019218745	NA	STRESS	2	2	1
CDF_efflux	NA	NA	Enterobacter_D sp900116015	NA	STRESS	1	1	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter asburiae	Enterobacter cloacae complex	AMR	20	53	0.37735849056603776
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter asburiae_B	NA	AMR	197	228	0.8640350877192983
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter asburiae_D	NA	AMR	15	15	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter bugandensis	NA	AMR	151	230	0.6565217391304348
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter cancerogenus	NA	AMR	17	17	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter chengduensis	NA	AMR	3	76	0.039473684210526314
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter chuandaensis	NA	AMR	6	6	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter cloacae_I	NA	AMR	39	39	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter cloacae_L	NA	AMR	18	18	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter cloacae_M	NA	AMR	60	407	0.14742014742014742
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter cloacae_N	NA	AMR	6	6	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter cloacae_O	NA	AMR	4	4	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter cloacae_Q	NA	AMR	1	1	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter dykesii	NA	AMR	7	7	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter hormaechei	Enterobacter cloacae complex	AMR	24	127	0.1889763779527559
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter hormaechei_A	NA	AMR	940	6055	0.15524360033030554
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter huaxiensis	NA	AMR	1	2	0.5
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter kobei	Enterobacter cloacae complex	AMR	201	759	0.2648221343873518
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter ludwigii	Enterobacter cloacae complex	AMR	195	223	0.874439461883408
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter mori	NA	AMR	44	44	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter nimipressuralis_A	NA	AMR	1	1	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter oligotrophicus	NA	AMR	3	3	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter quasihormaechei	NA	AMR	22	23	0.9565217391304348
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter roggenkampii	NA	AMR	28	509	0.0550098231827112
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter sichuanensis	NA	AMR	59	61	0.9672131147540983
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter soli	NA	AMR	3	23	0.13043478260869565
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter sp000493015	NA	AMR	3	4	0.75
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter sp000568095	NA	AMR	8	8	1
CMY2-MIR-ACT-EC	BETA-LACTAM	CEPHALOSPORIN	Enterobacter vonholyi	NA	AMR	15	18	0.8333333333333334
HEAT	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	117	53	2.207547169811321
HEAT	NA	NA	Enterobacter asburiae_B	NA	STRESS	934	228	4.0964912280701755
HEAT	NA	NA	Enterobacter asburiae_D	NA	STRESS	8	15	0.5333333333333333
HEAT	NA	NA	Enterobacter bugandensis	NA	STRESS	2	230	0.008695652173913044
HEAT	NA	NA	Enterobacter chengduensis	NA	STRESS	63	76	0.8289473684210527
HEAT	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	164	457	0.3588621444201313
HEAT	NA	NA	Enterobacter cloacae_I	NA	STRESS	167	39	4.282051282051282
HEAT	NA	NA	Enterobacter cloacae_M	NA	STRESS	2162	407	5.312039312039312
HEAT	NA	NA	Enterobacter dykesii	NA	STRESS	9	7	1.2857142857142858
HEAT	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	216	127	1.7007874015748032
HEAT	NA	NA	Enterobacter hormaechei_A	NA	STRESS	5555	6055	0.9174236168455822
HEAT	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	2588	759	3.409749670619236
HEAT	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	338	223	1.515695067264574
HEAT	NA	NA	Enterobacter roggenkampii	NA	STRESS	2124	509	4.172888015717092
HEAT	NA	NA	Enterobacter sichuanensis	NA	STRESS	130	61	2.1311475409836067
HEAT	NA	NA	Enterobacter vonholyi	NA	STRESS	17	18	0.9444444444444444
HEAT	NA	NA	Enterobacter_D kobei_A	NA	STRESS	36	4	9
METAL	ARSENIC	ARSENATE	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	19	53	0.3584905660377358
METAL	ARSENIC	ARSENATE	Enterobacter asburiae_B	NA	STRESS	106	228	0.4649122807017544
METAL	ARSENIC	ARSENATE	Enterobacter asburiae_D	NA	STRESS	5	15	0.3333333333333333
METAL	ARSENIC	ARSENATE	Enterobacter asburiae_E	NA	STRESS	4	4	1
METAL	ARSENIC	ARSENATE	Enterobacter bugandensis	NA	STRESS	64	230	0.2782608695652174
METAL	ARSENIC	ARSENATE	Enterobacter chengduensis	NA	STRESS	33	76	0.4342105263157895
METAL	ARSENIC	ARSENATE	Enterobacter chuandaensis	NA	STRESS	4	6	0.6666666666666666
METAL	ARSENIC	ARSENATE	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	410	457	0.8971553610503282
METAL	ARSENIC	ARSENATE	Enterobacter cloacae_I	NA	STRESS	19	39	0.48717948717948717
METAL	ARSENIC	ARSENATE	Enterobacter cloacae_L	NA	STRESS	1	18	0.05555555555555555
METAL	ARSENIC	ARSENATE	Enterobacter cloacae_M	NA	STRESS	144	407	0.3538083538083538
METAL	ARSENIC	ARSENATE	Enterobacter cloacae_P	NA	STRESS	9	9	1
METAL	ARSENIC	ARSENATE	Enterobacter cloacae_Q	NA	STRESS	1	1	1
METAL	ARSENIC	ARSENATE	Enterobacter dykesii	NA	STRESS	2	7	0.2857142857142857
METAL	ARSENIC	ARSENATE	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	77	127	0.6062992125984252
METAL	ARSENIC	ARSENATE	Enterobacter hormaechei_A	NA	STRESS	3109	6055	0.5134599504541701
METAL	ARSENIC	ARSENATE	Enterobacter kobei	Enterobacter cloacae complex	STRESS	759	759	1
METAL	ARSENIC	ARSENATE	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	44	223	0.19730941704035873
METAL	ARSENIC	ARSENATE	Enterobacter mori	NA	STRESS	15	44	0.3409090909090909
METAL	ARSENIC	ARSENATE	Enterobacter quasihormaechei	NA	STRESS	6	23	0.2608695652173913
METAL	ARSENIC	ARSENATE	Enterobacter roggenkampii	NA	STRESS	173	509	0.33988212180746563
METAL	ARSENIC	ARSENATE	Enterobacter sichuanensis	NA	STRESS	16	61	0.26229508196721313
METAL	ARSENIC	ARSENATE	Enterobacter soli	NA	STRESS	4	23	0.17391304347826086
METAL	ARSENIC	ARSENATE	Enterobacter sp013927005	NA	STRESS	8	11	0.7272727272727273
METAL	ARSENIC	ARSENATE	Enterobacter vonholyi	NA	STRESS	2	18	0.1111111111111111
METAL	ARSENIC	ARSENATE	Enterobacter_A timonensis	NA	STRESS	3	3	1
METAL	ARSENIC	ARSENATE	Enterobacter_B lignolyticus	NA	STRESS	3	3	1
METAL	ARSENIC	ARSENIC	Enterobacter hormaechei_A	NA	STRESS	2	6055	3.3030553261767135e-4
METAL	ARSENIC	ARSENIC	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	1	223	0.004484304932735426
METAL	ARSENIC	ARSENITE	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	23	53	0.4339622641509434
METAL	ARSENIC	ARSENITE	Enterobacter asburiae_B	NA	STRESS	63	228	0.27631578947368424
METAL	ARSENIC	ARSENITE	Enterobacter asburiae_D	NA	STRESS	8	15	0.5333333333333333
METAL	ARSENIC	ARSENITE	Enterobacter asburiae_E	NA	STRESS	2	4	0.5
METAL	ARSENIC	ARSENITE	Enterobacter bugandensis	NA	STRESS	8	230	0.034782608695652174
METAL	ARSENIC	ARSENITE	Enterobacter chengduensis	NA	STRESS	10	76	0.13157894736842105
METAL	ARSENIC	ARSENITE	Enterobacter chuandaensis	NA	STRESS	6	6	1
METAL	ARSENIC	ARSENITE	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	196	457	0.4288840262582057
METAL	ARSENIC	ARSENITE	Enterobacter cloacae_I	NA	STRESS	18	39	0.46153846153846156
METAL	ARSENIC	ARSENITE	Enterobacter cloacae_M	NA	STRESS	57	407	0.14004914004914004
METAL	ARSENIC	ARSENITE	Enterobacter cloacae_P	NA	STRESS	18	9	2
METAL	ARSENIC	ARSENITE	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	127	127	1
METAL	ARSENIC	ARSENITE	Enterobacter hormaechei_A	NA	STRESS	2782	6055	0.4594549958711808
METAL	ARSENIC	ARSENITE	Enterobacter kobei	Enterobacter cloacae complex	STRESS	1515	759	1.9960474308300395
METAL	ARSENIC	ARSENITE	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	29	223	0.13004484304932734
METAL	ARSENIC	ARSENITE	Enterobacter mori	NA	STRESS	11	44	0.25
METAL	ARSENIC	ARSENITE	Enterobacter roggenkampii	NA	STRESS	202	509	0.3968565815324165
METAL	ARSENIC	ARSENITE	Enterobacter sichuanensis	NA	STRESS	17	61	0.2786885245901639
METAL	ARSENIC	ARSENITE	Enterobacter soli	NA	STRESS	6	23	0.2608695652173913
METAL	ARSENIC	ARSENITE	Enterobacter sp013927005	NA	STRESS	16	11	1.4545454545454546
METAL	ARSENIC	ARSENITE	Enterobacter vonholyi	NA	STRESS	4	18	0.2222222222222222
METAL	ARSENIC	ARSENITE	Enterobacter_A timonensis	NA	STRESS	2	3	0.6666666666666666
METAL	CHROMATE	CHROMATE	Enterobacter hormaechei_A	NA	STRESS	1	6055	1.6515276630883568e-4
METAL	COPPER	COPPER	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	69	53	1.3018867924528301
METAL	COPPER	COPPER	Enterobacter asburiae_B	NA	STRESS	389	228	1.706140350877193
METAL	COPPER	COPPER	Enterobacter asburiae_D	NA	STRESS	12	15	0.8
METAL	COPPER	COPPER	Enterobacter asburiae_E	NA	STRESS	12	4	3
METAL	COPPER	COPPER	Enterobacter bugandensis	NA	STRESS	168	230	0.7304347826086957
METAL	COPPER	COPPER	Enterobacter chengduensis	NA	STRESS	205	76	2.6973684210526314
METAL	COPPER	COPPER	Enterobacter chuandaensis	NA	STRESS	10	6	1.6666666666666667
METAL	COPPER	COPPER	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	698	457	1.5273522975929978
METAL	COPPER	COPPER	Enterobacter cloacae_I	NA	STRESS	96	39	2.4615384615384617
METAL	COPPER	COPPER	Enterobacter cloacae_L	NA	STRESS	1	18	0.05555555555555555
METAL	COPPER	COPPER	Enterobacter cloacae_M	NA	STRESS	1104	407	2.7125307125307123
METAL	COPPER	COPPER	Enterobacter cloacae_N	NA	STRESS	2	6	0.3333333333333333
METAL	COPPER	COPPER	Enterobacter cloacae_P	NA	STRESS	10	9	1.1111111111111112
METAL	COPPER	COPPER	Enterobacter cloacae_Q	NA	STRESS	1	1	1
METAL	COPPER	COPPER	Enterobacter dykesii	NA	STRESS	3	7	0.42857142857142855
METAL	COPPER	COPPER	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	317	127	2.4960629921259843
METAL	COPPER	COPPER	Enterobacter hormaechei_A	NA	STRESS	13307	6055	2.1976878612716764
METAL	COPPER	COPPER	Enterobacter kobei	Enterobacter cloacae complex	STRESS	1952	759	2.5718050065876152
METAL	COPPER	COPPER	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	178	223	0.7982062780269058
METAL	COPPER	COPPER	Enterobacter mori	NA	STRESS	27	44	0.6136363636363636
METAL	COPPER	COPPER	Enterobacter quasihormaechei	NA	STRESS	22	23	0.9565217391304348
METAL	COPPER	COPPER	Enterobacter roggenkampii	NA	STRESS	1046	509	2.0550098231827114
METAL	COPPER	COPPER	Enterobacter sichuanensis	NA	STRESS	79	61	1.2950819672131149
METAL	COPPER	COPPER	Enterobacter soli	NA	STRESS	39	23	1.6956521739130435
METAL	COPPER	COPPER	Enterobacter sp013927005	NA	STRESS	14	11	1.2727272727272727
METAL	COPPER	COPPER	Enterobacter vonholyi	NA	STRESS	10	18	0.5555555555555556
METAL	COPPER	COPPER	Enterobacter_A timonensis	NA	STRESS	5	3	1.6666666666666667
METAL	COPPER	COPPER	Enterobacter_D kobei_A	NA	STRESS	12	4	3
METAL	COPPER	COPPER	Enterobacter_D sp001888805	NA	STRESS	3	1	3
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	84	53	1.5849056603773586
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter asburiae_B	NA	STRESS	522	228	2.289473684210526
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter asburiae_D	NA	STRESS	12	15	0.8
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter asburiae_E	NA	STRESS	12	4	3
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter bugandensis	NA	STRESS	168	230	0.7304347826086957
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter chengduensis	NA	STRESS	213	76	2.8026315789473686
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter chuandaensis	NA	STRESS	9	6	1.5
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	753	457	1.6477024070021882
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter cloacae_I	NA	STRESS	105	39	2.6923076923076925
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter cloacae_M	NA	STRESS	1069	407	2.6265356265356266
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter cloacae_N	NA	STRESS	3	6	0.5
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter cloacae_P	NA	STRESS	18	9	2
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter dykesii	NA	STRESS	3	7	0.42857142857142855
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	366	127	2.8818897637795278
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter hormaechei_A	NA	STRESS	14934	6055	2.466391412056152
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter kobei	Enterobacter cloacae complex	STRESS	2068	759	2.7246376811594204
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	216	223	0.968609865470852
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter mori	NA	STRESS	33	44	0.75
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter quasihormaechei	NA	STRESS	33	23	1.434782608695652
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter roggenkampii	NA	STRESS	1173	509	2.3045186640471513
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter sichuanensis	NA	STRESS	80	61	1.3114754098360655
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter soli	NA	STRESS	50	23	2.1739130434782608
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter sp013927005	NA	STRESS	32	11	2.909090909090909
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter vonholyi	NA	STRESS	15	18	0.8333333333333334
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter_A timonensis	NA	STRESS	3	3	1
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter_D kobei_A	NA	STRESS	12	4	3
METAL	COPPER/SILVER	COPPER/SILVER	Enterobacter_D sp001888805	NA	STRESS	3	1	3
METAL	MERCURY	MERCURY	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	13	53	0.24528301886792453
METAL	MERCURY	MERCURY	Enterobacter asburiae_B	NA	STRESS	292	228	1.280701754385965
METAL	MERCURY	MERCURY	Enterobacter asburiae_D	NA	STRESS	12	15	0.8
METAL	MERCURY	MERCURY	Enterobacter asburiae_E	NA	STRESS	6	4	1.5
METAL	MERCURY	MERCURY	Enterobacter bugandensis	NA	STRESS	49	230	0.21304347826086956
METAL	MERCURY	MERCURY	Enterobacter chengduensis	NA	STRESS	130	76	1.7105263157894737
METAL	MERCURY	MERCURY	Enterobacter chuandaensis	NA	STRESS	5	6	0.8333333333333334
METAL	MERCURY	MERCURY	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	287	457	0.6280087527352297
METAL	MERCURY	MERCURY	Enterobacter cloacae_I	NA	STRESS	78	39	2
METAL	MERCURY	MERCURY	Enterobacter cloacae_L	NA	STRESS	3	18	0.16666666666666666
METAL	MERCURY	MERCURY	Enterobacter cloacae_M	NA	STRESS	415	407	1.0196560196560196
METAL	MERCURY	MERCURY	Enterobacter cloacae_P	NA	STRESS	22	9	2.4444444444444446
METAL	MERCURY	MERCURY	Enterobacter cloacae_Q	NA	STRESS	1	1	1
METAL	MERCURY	MERCURY	Enterobacter dykesii	NA	STRESS	3	7	0.42857142857142855
METAL	MERCURY	MERCURY	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	188	127	1.4803149606299213
METAL	MERCURY	MERCURY	Enterobacter hormaechei_A	NA	STRESS	8213	6055	1.3563996696944673
METAL	MERCURY	MERCURY	Enterobacter kobei	Enterobacter cloacae complex	STRESS	992	759	1.3069828722002634
METAL	MERCURY	MERCURY	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	70	223	0.31390134529147984
METAL	MERCURY	MERCURY	Enterobacter mori	NA	STRESS	22	44	0.5
METAL	MERCURY	MERCURY	Enterobacter quasihormaechei	NA	STRESS	33	23	1.434782608695652
METAL	MERCURY	MERCURY	Enterobacter roggenkampii	NA	STRESS	434	509	0.8526522593320236
METAL	MERCURY	MERCURY	Enterobacter sichuanensis	NA	STRESS	55	61	0.9016393442622951
METAL	MERCURY	MERCURY	Enterobacter soli	NA	STRESS	37	23	1.608695652173913
METAL	MERCURY	MERCURY	Enterobacter sp013927005	NA	STRESS	21	11	1.9090909090909092
METAL	MERCURY	MERCURY	Enterobacter vonholyi	NA	STRESS	3	18	0.16666666666666666
METAL	MERCURY	MERCURY	Enterobacter_A timonensis	NA	STRESS	4	3	1.3333333333333333
METAL	MERCURY	ORGANOMERCURY	Enterobacter asburiae_B	NA	STRESS	7	228	0.03070175438596491
METAL	MERCURY	ORGANOMERCURY	Enterobacter bugandensis	NA	STRESS	1	230	0.004347826086956522
METAL	MERCURY	ORGANOMERCURY	Enterobacter chengduensis	NA	STRESS	8	76	0.10526315789473684
METAL	MERCURY	ORGANOMERCURY	Enterobacter chuandaensis	NA	STRESS	1	6	0.16666666666666666
METAL	MERCURY	ORGANOMERCURY	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	28	457	0.061269146608315096
METAL	MERCURY	ORGANOMERCURY	Enterobacter cloacae_I	NA	STRESS	2	39	0.05128205128205128
METAL	MERCURY	ORGANOMERCURY	Enterobacter cloacae_L	NA	STRESS	1	18	0.05555555555555555
METAL	MERCURY	ORGANOMERCURY	Enterobacter cloacae_M	NA	STRESS	53	407	0.13022113022113022
METAL	MERCURY	ORGANOMERCURY	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	10	127	0.07874015748031496
METAL	MERCURY	ORGANOMERCURY	Enterobacter hormaechei_A	NA	STRESS	426	6055	0.070355078447564
METAL	MERCURY	ORGANOMERCURY	Enterobacter kobei	Enterobacter cloacae complex	STRESS	189	759	0.2490118577075099
METAL	MERCURY	ORGANOMERCURY	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	12	223	0.053811659192825115
METAL	MERCURY	ORGANOMERCURY	Enterobacter mori	NA	STRESS	2	44	0.045454545454545456
METAL	MERCURY	ORGANOMERCURY	Enterobacter roggenkampii	NA	STRESS	5	509	0.009823182711198428
METAL	MERCURY	ORGANOMERCURY	Enterobacter sichuanensis	NA	STRESS	1	61	0.01639344262295082
METAL	MERCURY	ORGANOMERCURY	Enterobacter soli	NA	STRESS	1	23	0.043478260869565216
METAL	MERCURY	ORGANOMERCURY	Enterobacter sp013927005	NA	STRESS	1	11	0.09090909090909091
METAL	MERCURY	ORGANOMERCURY	Enterobacter vonholyi	NA	STRESS	2	18	0.1111111111111111
METAL	MERCURY	PHENYLMERCURY	Enterobacter asburiae_B	NA	STRESS	10	228	0.043859649122807015
METAL	MERCURY	PHENYLMERCURY	Enterobacter chengduensis	NA	STRESS	3	76	0.039473684210526314
METAL	MERCURY	PHENYLMERCURY	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	4	457	0.0087527352297593
METAL	MERCURY	PHENYLMERCURY	Enterobacter cloacae_M	NA	STRESS	14	407	0.0343980343980344
METAL	MERCURY	PHENYLMERCURY	Enterobacter hormaechei_A	NA	STRESS	250	6055	0.04128819157720892
METAL	MERCURY	PHENYLMERCURY	Enterobacter kobei	Enterobacter cloacae complex	STRESS	5	759	0.006587615283267457
METAL	MERCURY	PHENYLMERCURY	Enterobacter roggenkampii	NA	STRESS	1	509	0.0019646365422396855
METAL	NICKEL	NICKEL	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	20	53	0.37735849056603776
METAL	NICKEL	NICKEL	Enterobacter asburiae_B	NA	STRESS	126	228	0.5526315789473685
METAL	NICKEL	NICKEL	Enterobacter asburiae_D	NA	STRESS	8	15	0.5333333333333333
METAL	NICKEL	NICKEL	Enterobacter asburiae_E	NA	STRESS	2	4	0.5
METAL	NICKEL	NICKEL	Enterobacter bugandensis	NA	STRESS	48	230	0.20869565217391303
METAL	NICKEL	NICKEL	Enterobacter chengduensis	NA	STRESS	36	76	0.47368421052631576
METAL	NICKEL	NICKEL	Enterobacter chuandaensis	NA	STRESS	2	6	0.3333333333333333
METAL	NICKEL	NICKEL	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	138	457	0.30196936542669583
METAL	NICKEL	NICKEL	Enterobacter cloacae_I	NA	STRESS	37	39	0.9487179487179487
METAL	NICKEL	NICKEL	Enterobacter cloacae_M	NA	STRESS	423	407	1.0393120393120394
METAL	NICKEL	NICKEL	Enterobacter dykesii	NA	STRESS	1	7	0.14285714285714285
METAL	NICKEL	NICKEL	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	17	127	0.13385826771653545
METAL	NICKEL	NICKEL	Enterobacter hormaechei_A	NA	STRESS	1733	6055	0.2862097440132122
METAL	NICKEL	NICKEL	Enterobacter kobei	Enterobacter cloacae complex	STRESS	507	759	0.6679841897233202
METAL	NICKEL	NICKEL	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	13	223	0.05829596412556054
