Hierarchy node	Class	Subclass	Species	complex	Element type	n	nspp	freq
LHR_psiE	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	9	457	0.019693654266958426
LHR_psiE	NA	NA	Enterobacter cloacae_I	NA	STRESS	18	39	0.46153846153846156
LHR_psiE	NA	NA	Enterobacter cloacae_M	NA	STRESS	232	407	0.5700245700245701
LHR_psiE	NA	NA	Enterobacter dykesii	NA	STRESS	1	7	0.14285714285714285
LHR_psiE	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	24	127	0.1889763779527559
LHR_psiE	NA	NA	Enterobacter hormaechei_A	NA	STRESS	612	6055	0.10107349298100743
LHR_psiE	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	268	759	0.3530961791831357
LHR_psiE	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	38	223	0.17040358744394618
LHR_psiE	NA	NA	Enterobacter roggenkampii	NA	STRESS	216	509	0.4243614931237721
LHR_psiE	NA	NA	Enterobacter sichuanensis	NA	STRESS	14	61	0.22950819672131148
LHR_psiE	NA	NA	Enterobacter vonholyi	NA	STRESS	1	18	0.05555555555555555
LHR_psiE	NA	NA	Enterobacter_D kobei_A	NA	STRESS	4	4	1
LHR_trx	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	15	53	0.2830188679245283
LHR_trx	NA	NA	Enterobacter asburiae_B	NA	STRESS	100	228	0.43859649122807015
LHR_trx	NA	NA	Enterobacter chengduensis	NA	STRESS	5	76	0.06578947368421052
LHR_trx	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	10	457	0.02188183807439825
LHR_trx	NA	NA	Enterobacter cloacae_I	NA	STRESS	18	39	0.46153846153846156
LHR_trx	NA	NA	Enterobacter cloacae_M	NA	STRESS	238	407	0.5847665847665847
LHR_trx	NA	NA	Enterobacter dykesii	NA	STRESS	1	7	0.14285714285714285
LHR_trx	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	24	127	0.1889763779527559
LHR_trx	NA	NA	Enterobacter hormaechei_A	NA	STRESS	614	6055	0.1014037985136251
LHR_trx	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	269	759	0.3544137022397892
LHR_trx	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	38	223	0.17040358744394618
LHR_trx	NA	NA	Enterobacter roggenkampii	NA	STRESS	224	509	0.4400785854616896
LHR_trx	NA	NA	Enterobacter sichuanensis	NA	STRESS	14	61	0.22950819672131148
LHR_trx	NA	NA	Enterobacter vonholyi	NA	STRESS	1	18	0.05555555555555555
LHR_trx	NA	NA	Enterobacter_D kobei_A	NA	STRESS	4	4	1
LHR_yfdX1	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	14	53	0.2641509433962264
LHR_yfdX1	NA	NA	Enterobacter asburiae_B	NA	STRESS	102	228	0.4473684210526316
LHR_yfdX1	NA	NA	Enterobacter chengduensis	NA	STRESS	5	76	0.06578947368421052
LHR_yfdX1	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	8	457	0.0175054704595186
LHR_yfdX1	NA	NA	Enterobacter cloacae_I	NA	STRESS	18	39	0.46153846153846156
LHR_yfdX1	NA	NA	Enterobacter cloacae_M	NA	STRESS	237	407	0.5823095823095823
LHR_yfdX1	NA	NA	Enterobacter dykesii	NA	STRESS	1	7	0.14285714285714285
LHR_yfdX1	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	24	127	0.1889763779527559
LHR_yfdX1	NA	NA	Enterobacter hormaechei_A	NA	STRESS	615	6055	0.10156895127993394
LHR_yfdX1	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	267	759	0.35177865612648224
LHR_yfdX1	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	37	223	0.16591928251121077
LHR_yfdX1	NA	NA	Enterobacter roggenkampii	NA	STRESS	225	509	0.44204322200392926
LHR_yfdX1	NA	NA	Enterobacter sichuanensis	NA	STRESS	14	61	0.22950819672131148
LHR_yfdX1	NA	NA	Enterobacter vonholyi	NA	STRESS	1	18	0.05555555555555555
LHR_yfdX1	NA	NA	Enterobacter_D kobei_A	NA	STRESS	4	4	1
LHR_yfdX2	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	11	53	0.20754716981132076
LHR_yfdX2	NA	NA	Enterobacter asburiae_B	NA	STRESS	102	228	0.4473684210526316
LHR_yfdX2	NA	NA	Enterobacter chengduensis	NA	STRESS	5	76	0.06578947368421052
LHR_yfdX2	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	10	457	0.02188183807439825
LHR_yfdX2	NA	NA	Enterobacter cloacae_I	NA	STRESS	18	39	0.46153846153846156
LHR_yfdX2	NA	NA	Enterobacter cloacae_M	NA	STRESS	238	407	0.5847665847665847
LHR_yfdX2	NA	NA	Enterobacter dykesii	NA	STRESS	1	7	0.14285714285714285
LHR_yfdX2	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	24	127	0.1889763779527559
LHR_yfdX2	NA	NA	Enterobacter hormaechei_A	NA	STRESS	613	6055	0.10123864574731627
LHR_yfdX2	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	269	759	0.3544137022397892
LHR_yfdX2	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	37	223	0.16591928251121077
LHR_yfdX2	NA	NA	Enterobacter roggenkampii	NA	STRESS	225	509	0.44204322200392926
LHR_yfdX2	NA	NA	Enterobacter sichuanensis	NA	STRESS	14	61	0.22950819672131148
LHR_yfdX2	NA	NA	Enterobacter vonholyi	NA	STRESS	1	18	0.05555555555555555
LHR_yfdX2	NA	NA	Enterobacter_D kobei_A	NA	STRESS	4	4	1
MerP_Gneg	MERCURY	MERCURY	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	2	53	0.03773584905660377
MerP_Gneg	MERCURY	MERCURY	Enterobacter asburiae_B	NA	STRESS	79	228	0.34649122807017546
MerP_Gneg	MERCURY	MERCURY	Enterobacter asburiae_D	NA	STRESS	4	15	0.26666666666666666
MerP_Gneg	MERCURY	MERCURY	Enterobacter bugandensis	NA	STRESS	1	230	0.004347826086956522
MerP_Gneg	MERCURY	MERCURY	Enterobacter chengduensis	NA	STRESS	18	76	0.23684210526315788
MerP_Gneg	MERCURY	MERCURY	Enterobacter chuandaensis	NA	STRESS	2	6	0.3333333333333333
MerP_Gneg	MERCURY	MERCURY	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	59	457	0.12910284463894967
MerP_Gneg	MERCURY	MERCURY	Enterobacter cloacae_I	NA	STRESS	18	39	0.46153846153846156
MerP_Gneg	MERCURY	MERCURY	Enterobacter cloacae_M	NA	STRESS	30	407	0.07371007371007371
MerP_Gneg	MERCURY	MERCURY	Enterobacter cloacae_P	NA	STRESS	2	9	0.2222222222222222
MerP_Gneg	MERCURY	MERCURY	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	22	127	0.1732283464566929
MerP_Gneg	MERCURY	MERCURY	Enterobacter hormaechei_A	NA	STRESS	1215	6055	0.20066061106523533
MerP_Gneg	MERCURY	MERCURY	Enterobacter kobei	Enterobacter cloacae complex	STRESS	90	759	0.11857707509881422
MerP_Gneg	MERCURY	MERCURY	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	5	223	0.02242152466367713
MerP_Gneg	MERCURY	MERCURY	Enterobacter mori	NA	STRESS	4	44	0.09090909090909091
MerP_Gneg	MERCURY	MERCURY	Enterobacter roggenkampii	NA	STRESS	29	509	0.05697445972495088
MerP_Gneg	MERCURY	MERCURY	Enterobacter sichuanensis	NA	STRESS	2	61	0.03278688524590164
MerP_Gneg	MERCURY	MERCURY	Enterobacter soli	NA	STRESS	1	23	0.043478260869565216
MerP_Gneg	MERCURY	MERCURY	Enterobacter sp013927005	NA	STRESS	5	11	0.45454545454545453
MerP_Gneg	MERCURY	MERCURY	Enterobacter vonholyi	NA	STRESS	2	18	0.1111111111111111
MerP_Gneg	MERCURY	MERCURY	Enterobacter_A timonensis	NA	STRESS	1	3	0.3333333333333333
SMR_efflux_emrE	EFFLUX	EFFLUX	Enterobacter hormaechei_A	NA	STRESS	1	6055	1.6515276630883568e-4
SMR_efflux_smr	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	2	457	0.00437636761487965
SMR_efflux_smr	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	1	127	0.007874015748031496
SMR_efflux_smr	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	Enterobacter hormaechei_A	NA	STRESS	29	6055	0.004789430222956234
SMR_efflux_smr	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	Enterobacter quasihormaechei	NA	STRESS	6	23	0.2608695652173913
aac(3)-IIIc	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	NA	AMR	1	407	0.002457002457002457
aac(3)-IIb	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	NA	AMR	1	228	0.0043859649122807015
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae	Enterobacter cloacae complex	AMR	6	53	0.11320754716981132
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	NA	AMR	1	228	0.0043859649122807015
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_D	NA	AMR	1	15	0.06666666666666667
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter bugandensis	NA	AMR	8	230	0.034782608695652174
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	NA	AMR	4	76	0.05263157894736842
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chuandaensis	NA	AMR	1	6	0.16666666666666666
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	Enterobacter cloacae complex	AMR	23	457	0.05032822757111598
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	NA	AMR	53	407	0.13022113022113022
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	Enterobacter cloacae complex	AMR	15	127	0.11811023622047244
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	NA	AMR	842	6055	0.13905862923203963
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	Enterobacter cloacae complex	AMR	21	759	0.02766798418972332
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter ludwigii	Enterobacter cloacae complex	AMR	2	223	0.008968609865470852
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter roggenkampii	NA	AMR	13	509	0.025540275049115914
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sichuanensis	NA	AMR	7	61	0.11475409836065574
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sp013927005	NA	AMR	1	11	0.09090909090909091
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	NA	AMR	21	228	0.09210526315789473
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_E	NA	AMR	3	4	0.75
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter bugandensis	NA	AMR	20	230	0.08695652173913043
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	NA	AMR	34	76	0.4473684210526316
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chuandaensis	NA	AMR	1	6	0.16666666666666666
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	Enterobacter cloacae complex	AMR	81	457	0.1772428884026258
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_I	NA	AMR	12	39	0.3076923076923077
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	NA	AMR	100	407	0.2457002457002457
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_Q	NA	AMR	1	1	1
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	Enterobacter cloacae complex	AMR	19	127	0.14960629921259844
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	NA	AMR	1080	6055	0.17836498761354252
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	Enterobacter cloacae complex	AMR	151	759	0.19894598155467721
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter ludwigii	Enterobacter cloacae complex	AMR	1	223	0.004484304932735426
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter mori	NA	AMR	3	44	0.06818181818181818
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter quasihormaechei	NA	AMR	5	23	0.21739130434782608
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter roggenkampii	NA	AMR	22	509	0.043222003929273084
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sichuanensis	NA	AMR	4	61	0.06557377049180328
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter soli	NA	AMR	2	23	0.08695652173913043
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sp013927005	NA	AMR	2	11	0.18181818181818182
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter_A timonensis	NA	AMR	2	3	0.6666666666666666
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	NA	AMR	6	228	0.02631578947368421
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter bugandensis	NA	AMR	1	230	0.004347826086956522
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	NA	AMR	2	76	0.02631578947368421
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	Enterobacter cloacae complex	AMR	8	457	0.0175054704595186
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_L	NA	AMR	1	18	0.05555555555555555
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	NA	AMR	59	407	0.14496314496314497
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	Enterobacter cloacae complex	AMR	15	127	0.11811023622047244
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	NA	AMR	361	6055	0.05962014863748968
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	Enterobacter cloacae complex	AMR	73	759	0.09617918313570488
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter ludwigii	Enterobacter cloacae complex	AMR	2	223	0.008968609865470852
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter roggenkampii	NA	AMR	6	509	0.011787819253438114
aac(3)-IVa	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	Enterobacter hormaechei_A	NA	AMR	15	6055	0.002477291494632535
aac(3)-IVa	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	Enterobacter kobei	Enterobacter cloacae complex	AMR	1	759	0.0013175230566534915
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	NA	AMR	1	228	0.0043859649122807015
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	NA	AMR	1	76	0.013157894736842105
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	NA	AMR	3	407	0.007371007371007371
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	Enterobacter cloacae complex	AMR	5	127	0.03937007874015748
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	NA	AMR	10	6055	0.0016515276630883566
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	Enterobacter cloacae complex	AMR	2	759	0.002635046113306983
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	NA	AMR	6	228	0.02631578947368421
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	Enterobacter cloacae complex	AMR	4	457	0.0087527352297593
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_I	NA	AMR	1	39	0.02564102564102564
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	NA	AMR	50	6055	0.008257638315441783
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	Enterobacter cloacae complex	AMR	1	759	0.0013175230566534915
aac(3)-VIa	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	NA	AMR	11	6055	0.0018166804293971925
aac(6')-29	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter hormaechei_A	NA	AMR	1	6055	1.6515276630883568e-4
aac(6')-30	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter hormaechei_A	NA	AMR	1	6055	1.6515276630883568e-4
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter asburiae_B	NA	AMR	1	228	0.0043859649122807015
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter chengduensis	NA	AMR	1	76	0.013157894736842105
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter cloacae	Enterobacter cloacae complex	AMR	2	457	0.00437636761487965
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter cloacae_M	NA	AMR	1	407	0.002457002457002457
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter kobei	Enterobacter cloacae complex	AMR	1	759	0.0013175230566534915
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter roggenkampii	NA	AMR	2	509	0.003929273084479371
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter cloacae	Enterobacter cloacae complex	AMR	1	457	0.002188183807439825
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter hormaechei_A	NA	AMR	2	6055	3.3030553261767135e-4
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter kobei	Enterobacter cloacae complex	AMR	3	759	0.003952569169960474
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter roggenkampii	NA	AMR	1	509	0.0019646365422396855
aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei_A	NA	AMR	4	6055	6.606110652353427e-4
aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter roggenkampii	NA	AMR	1	509	0.0019646365422396855
aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter sichuanensis	NA	AMR	1	61	0.01639344262295082
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter asburiae_B	NA	AMR	17	228	0.07456140350877193
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter bugandensis	NA	AMR	1	230	0.004347826086956522
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter chengduensis	NA	AMR	7	76	0.09210526315789473
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae	Enterobacter cloacae complex	AMR	9	457	0.019693654266958426
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_L	NA	AMR	1	18	0.05555555555555555
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_M	NA	AMR	71	407	0.17444717444717445
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei	Enterobacter cloacae complex	AMR	16	127	0.12598425196850394
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei_A	NA	AMR	496	6055	0.08191577208918249
