Gene symbol	Class	Subclass	Element type	Hierarchy node	n	freq
folP_F17L	SULFONAMIDE	SULFONAMIDE	AMR	folP	4954	0.04779316000192948
selZ	NA	NA	VIRULENCE	selZ	4802	0.04632675703053398
qacC	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacC	4641	0.044773527567411125
parC_E84G	QUINOLONE	QUINOLONE	AMR	parC	4503	0.04344218802759153
merA	MERCURY	MERCURY	STRESS	merA	4378	0.04223626453137813
merT	MERCURY	MERCURY	STRESS	merT_pI258	4374	0.0421976749794993
merB	MERCURY	ORGANOMERCURY	STRESS	merB	4366	0.04212049587574164
dfrS1	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrS1	4349	0.04195649028025662
sec2	NA	NA	VIRULENCE	sec2	4322	0.041696010805074527
cadC	CADMIUM/LEAD/ZINC	CADMIUM/LEAD/ZINC	STRESS	cadC_Sa	3885	0.03748010226231248
ednB	NA	NA	VIRULENCE	ednB	3728	0.03596546235106845
folP_E258EKE	SULFONAMIDE	SULFONAMIDE	AMR	folP	3375	0.03255993439776181
mupA	MUPIROCIN	MUPIROCIN	AMR	mupA	3354	0.03235733925039796
fusC	FUSIDIC ACID	FUSIDIC ACID	AMR	fusC	2738	0.026414548261058317
sec3	NA	NA	VIRULENCE	sec3	2438	0.02352033187014616
parC_E84K	QUINOLONE	QUINOLONE	AMR	parC	2128	0.020529641599536925
ileS_V588F	MUPIROCIN	MUPIROCIN	AMR	ileS	1917	0.018494042737928706
erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	AMR	erm(B)	1895	0.018281800202595146
sel28	NA	NA	VIRULENCE	sel28	1875	0.018088852443201003
sel27	NA	NA	VIRULENCE	sel27	1865	0.01799237856350393
dfrB_F99Y	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB	1844	0.01778978341614008
glpT_L27F	FOSFOMYCIN	FOSFOMYCIN	AMR	glpT	1833	0.017683662148473302
folP_E208K	SULFONAMIDE	SULFONAMIDE	AMR	folP	1799	0.017355650957503257
mecI	BETA-LACTAM	METHICILLIN	AMR	mecI_of_mecC	1750	0.016882928946987605
mecC	BETA-LACTAM	METHICILLIN	AMR	mecC	1744	0.01682504461916936
blaZ	BETA-LACTAM	BETA-LACTAM	AMR	blaZ-mecC	1739	0.016776807679320823
parE_P585S	QUINOLONE	QUINOLONE	AMR	parE	1730	0.016689981187593458
str	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	str	1678	0.016188317013168686
rpoB_H481N	RIFAMYCIN	RIFAMPIN	AMR	rpoB	1675	0.016159374849259563
lnu(A)	LINCOSAMIDE	LINCOSAMIDE	AMR	lnu(A)	1471	0.014191307703439293
ses	NA	NA	VIRULENCE	ses	1459	0.014075539047802807
set	NA	NA	VIRULENCE	set	1437	0.013863296512469248
dfrK	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrK	1410	0.013602817037287154
lsa(E)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	AMR	lsa(E)	1405	0.013554580097438618
lnu(B)	LINCOSAMIDE	LINCOSAMIDE	AMR	lnu(B)	1401	0.01351599054555979
gyrA_S85P	QUINOLONE	QUINOLONE	AMR	gyrA	1362	0.01313974241474121
eta	NA	NA	VIRULENCE	eta	1357	0.013091505474892674
erm(T)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/LINCOSAMIDE/STREPTOGRAMIN/TYLOSIN	AMR	erm(T)	1354	0.01306256331098355
tet(L)	TETRACYCLINE	TETRACYCLINE	AMR	tet(L)	1313	0.012667020404225555
parE_D432N	QUINOLONE	QUINOLONE	AMR	parE	1244	0.012001350634315759
gyrA_E88K	QUINOLONE	QUINOLONE	AMR	gyrA	1011	0.00975350923737398
fexA	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	AMR	fexA	970	0.009357966330615987
pbp4_R200L	BETA-LACTAM	CEPHALOSPORIN	AMR	pbp4	964	0.009300082002797742
catA	PHENICOL	CHLORAMPHENICOL	AMR	catA7	947	0.00913607640731272
vga(A)	LINCOSAMIDE	LINCOSAMIDE	AMR	vga(A)	910	0.008779123052433554
fusB	FUSIDIC ACID	FUSIDIC ACID	AMR	fusB	844	0.008142395446432879
sel30	NA	NA	VIRULENCE	sel30	795	0.007669673435917225
fusC	FUSIDIC ACID	FUSIDIC ACID	AMR	fusC_set	733	0.007071535381795379
parE_P451S	QUINOLONE	QUINOLONE	AMR	parE	712	0.006868940234431528
fusA_L461K	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	702	0.006772466354734456
parE_D432V	QUINOLONE	QUINOLONE	AMR	parE	676	0.006521634267522068
dfrB_L21V	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB	566	0.005460421590854276
dfrB_N60I	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB	552	0.005325358159278376
dfrE	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrE	545	0.005257826443490425
vga(E)	LINCOSAMIDE	LINCOSAMIDE	AMR	vga(E)	502	0.004842988760793016
sel32	NA	NA	VIRULENCE	sel32	483	0.0046596883893685785
qacG	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacG	479	0.00462109883748975
sel31	NA	NA	VIRULENCE	sel31	478	0.004611451449520043
catA	PHENICOL	CHLORAMPHENICOL	AMR	catA8	465	0.004486035405913849
spw	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	spw	459	0.0044281510780956055
qacB	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacB	436	0.00420626115479234
rpoB_L466S	RIFAMYCIN	RIFAMPIN	AMR	rpoB	435	0.004196613766822632
23S_C2220T	OXAZOLIDINONE	LINEZOLID	AMR	NA	433	0.0041773189908832185
folP_T51M	SULFONAMIDE	SULFONAMIDE	AMR	folP	431	0.004158024214943804
rpsJ_Y58D	TETRACYCLINE	TIGECYCLINE	AMR	rpsJ	407	0.003926486903670831
rpoB_S529L	RIFAMYCIN	RIFAMPIN	AMR	rpoB	405	0.003907192127731417
gyrA_G106D	QUINOLONE	QUINOLONE	AMR	gyrA	388	0.0037431865322463944
pbp4_E218K	BETA-LACTAM	CEPHALOSPORIN	AMR	pbp4	365	0.0035212966089431287
fusA_L461S	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	351	0.003386233177367228
gyrA_E88G	QUINOLONE	QUINOLONE	AMR	gyrA	351	0.003386233177367228
catA	PHENICOL	CHLORAMPHENICOL	AMR	catA9	343	0.0033090540736095703
gyrA_S84A	QUINOLONE	QUINOLONE	AMR	gyrA	319	0.0030775167623365973
fosY	FOSFOMYCIN	FOSFOMYCIN	AMR	fosY	318	0.0030678693743668903
fusA_V90I	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	298	0.0028749216149727462
fusA_H457Y	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	295	0.0028459794510636246
qacJ	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacJ	292	0.002817037287154503
selV	NA	NA	VIRULENCE	selV	292	0.002817037287154503
rpoB_A477D	RIFAMYCIN	RIFAMPIN	AMR	rpoB	274	0.002643384303699773
etb	NA	NA	VIRULENCE	etb	273	0.0026337369157300662
spd	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	spd	243	0.00234431527663885
folP_A184V	SULFONAMIDE	SULFONAMIDE	AMR	folP	239	0.0023057257247600213
gyrA_S84V	QUINOLONE	QUINOLONE	AMR	gyrA	237	0.0022864309488206066
gyrA_E88A	QUINOLONE	QUINOLONE	AMR	gyrA	229	0.002209251845062949
dfrB_H150R	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB	217	0.002093483189426463
mecA	BETA-LACTAM	CEFTAROLINE/METHICILLIN	AMR	mecA-ceftar	202	0.0019487723698808548
rpoB_H481Y	RIFAMYCIN	RIFAMPIN	AMR	rpoB	202	0.0019487723698808548
fosD	FOSFOMYCIN	FOSFOMYCIN	AMR	fosD	184	0.0017751193864261252
apmA	AMINOGLYCOSIDE	APRAMYCIN	AMR	apmA	181	0.0017461772225170035
rpoB_S464P	RIFAMYCIN	RIFAMPIN	AMR	rpoB	173	0.001668998118759346
glpT_W355STOP	FOSFOMYCIN	FOSFOMYCIN	AMR	glpT	164	0.001582171627031981
dfrB_L41F	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB	163	0.001572524239062274
tet	TETRACYCLINE	TETRACYCLINE	AMR	tet(T)	161	0.0015532294631228594
lnu(G)	LINCOSAMIDE	LINCOSAMIDE	AMR	lnu(G)	139	0.001340986927789301
parC_E84V	QUINOLONE	QUINOLONE	AMR	parC	139	0.001340986927789301
ileS_V631F	MUPIROCIN	MUPIROCIN	AMR	ileS	117	0.0011287443924557427
blaTEM-116	BETA-LACTAM	BETA-LACTAM	AMR	blaTEM-116	109	0.001051565288698085
mprF_P314L	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	107	0.0010322705127586707
rpoB_D471G	RIFAMYCIN	RIFAMPIN	AMR	rpoB	93	8.972070811827697e-4
mprF_L826F	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	84	8.103805894554049e-4
rpoB_D471Y	RIFAMYCIN	RIFAMPIN	AMR	rpoB	80	7.717910375765762e-4
rpoB_S486L	RIFAMYCIN	RIFAMPIN	AMR	rpoB	80	7.717910375765762e-4
fusA_P404L	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	75	7.235540977280401e-4
gyrB_R143I	AMINOCOUMARIN	AMINOCOUMARIN	AMR	gyrB	75	7.235540977280401e-4
fosB4	FOSFOMYCIN	FOSFOMYCIN	AMR	fosB4	73	7.042593217886257e-4
gyrB_G84S	AMINOCOUMARIN	AMINOCOUMARIN	AMR	gyrB	70	6.753171578795041e-4
blaTEM-1	BETA-LACTAM	BETA-LACTAM	AMR	blaTEM-1	67	6.463749939703825e-4
vga(A)-LC	LINCOSAMIDE	LINCOSAMIDE	AMR	vga(A)-LC	62	5.981380541218466e-4
parE_D432H	QUINOLONE	QUINOLONE	AMR	parE	60	5.788432781824321e-4
rpoB_I527M	RIFAMYCIN	RIFAMPIN	AMR	rpoB	59	5.691958902127249e-4
sel33	NA	NA	VIRULENCE	sel33	58	5.595485022430177e-4
mprF_S295L	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	55	5.306063383338961e-4
fusA_H457Q	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	53	5.113115623944816e-4
cfr	PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN	CHLORAMPHENICOL/CLINDAMYCIN/FLORFENICOL/LINEZOLID/STREPTOGRAMIN B/TIAMULIN/VIRGINIAMYCIN	AMR	cfr	52	5.016641744247745e-4
dfrB_H31N	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB	52	5.016641744247745e-4
mprF_S337L	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	52	5.016641744247745e-4
fexB	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	AMR	fexB	47	4.534272345762385e-4
dfrB_L25I	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB	44	4.2448507066711685e-4
lnu(A)'	LINCOSAMIDE	LINCOSAMIDE	AMR	lnu(A)'	44	4.2448507066711685e-4
23S_G2604T	OXAZOLIDINONE	LINEZOLID	AMR	NA	43	4.1483768269740966e-4
fusA_L461F	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	43	4.1483768269740966e-4
rpoB_R484H	RIFAMYCIN	RIFAMPIN	AMR	rpoB	40	3.858955187882881e-4
fusA_E444K	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	39	3.762481308185809e-4
blaTEM	BETA-LACTAM	BETA-LACTAM	AMR	blaTEM	36	3.4730596690945925e-4
mprF_T345A	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	36	3.4730596690945925e-4
rpoB_Q468L	RIFAMYCIN	RIFAMPIN	AMR	rpoB	35	3.3765857893975205e-4
mprF_T345I	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	34	3.2801119097004486e-4
fusA_P406L	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	33	3.1836380300033767e-4
rpoB_A477V	RIFAMYCIN	RIFAMPIN	AMR	rpoB	33	3.1836380300033767e-4
see	NA	NA	VIRULENCE	see	33	3.1836380300033767e-4
fusA_M651I	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	32	3.0871641503063047e-4
mprF_L341S	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	32	3.0871641503063047e-4
narA	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	AMR	narA	31	2.990690270609233e-4
narB	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	AMR	narB	31	2.990690270609233e-4
mprF_G61V	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	29	2.7977425112150884e-4
rpoB_A477T	RIFAMYCIN	RIFAMPIN	AMR	rpoB	29	2.7977425112150884e-4
rpoB_Q468K	RIFAMYCIN	RIFAMPIN	AMR	rpoB	29	2.7977425112150884e-4
ant(9)-Ib	AMINOGLYCOSIDE	SPECTINOMYCIN	AMR	ant(9)-Ib	28	2.7012686315180164e-4
fusA_M453I	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	28	2.7012686315180164e-4
fusA_A376V	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	27	2.6047947518209445e-4
fosB6	FOSFOMYCIN	FOSFOMYCIN	AMR	fosB6	26	2.5083208721238725e-4
parC_A116V	QUINOLONE	QUINOLONE	AMR	parC	25	2.4118469924268003e-4
folP_S18L	SULFONAMIDE	SULFONAMIDE	AMR	folP	24	2.3153731127297284e-4
glpT_A434V	FOSFOMYCIN	FOSFOMYCIN	AMR	glpT	23	2.2188992330326565e-4
fosB1	FOSFOMYCIN	FOSFOMYCIN	AMR	fosB1	21	2.0259514736385123e-4
rpoB_D471E	RIFAMYCIN	RIFAMPIN	AMR	rpoB	21	2.0259514736385123e-4
dfrF	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrF	20	1.9294775939414404e-4
parE_R444S	QUINOLONE	QUINOLONE	AMR	parE	20	1.9294775939414404e-4
uhpT_G358V	FOSFOMYCIN	FOSFOMYCIN	AMR	uhpT	20	1.9294775939414404e-4
vga(C)	LINCOSAMIDE	LINCOSAMIDE	AMR	vga(C)	20	1.9294775939414404e-4
fusA_P404Q	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	18	1.7365298345472962e-4
fusA_P478S	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	18	1.7365298345472962e-4
rpoB_A473T	RIFAMYCIN	RIFAMPIN	AMR	rpoB	18	1.7365298345472962e-4
fusA_V90A	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	17	1.6400559548502243e-4
lsa(B)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	AMR	lsa(B)	17	1.6400559548502243e-4
parC_A116E	QUINOLONE	QUINOLONE	AMR	parC	17	1.6400559548502243e-4
cls_A23V	LIPOPEPTIDE	DAPTOMYCIN	AMR	cls	16	1.5435820751531524e-4
rpoB_H481D	RIFAMYCIN	RIFAMPIN	AMR	rpoB	16	1.5435820751531524e-4
aph(3')-IIa	AMINOGLYCOSIDE	KANAMYCIN	AMR	aph(3')-IIa	15	1.4471081954560802e-4
fusA_G451V	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	15	1.4471081954560802e-4
rplC_G152D	OXAZOLIDINONE	LINEZOLID	AMR	rplC	15	1.4471081954560802e-4
vanX-A	GLYCOPEPTIDE	VANCOMYCIN	AMR	vanX-A	14	1.3506343157590082e-4
tet(S)	TETRACYCLINE	TETRACYCLINE	AMR	tet(S)	13	1.2541604360619363e-4
vanA	GLYCOPEPTIDE	VANCOMYCIN	AMR	vanA	13	1.2541604360619363e-4
vanH-A	GLYCOPEPTIDE	VANCOMYCIN	AMR	vanH-A	13	1.2541604360619363e-4
vanR-A	GLYCOPEPTIDE	VANCOMYCIN	AMR	vanR-A	13	1.2541604360619363e-4
vanS-A	GLYCOPEPTIDE	VANCOMYCIN	AMR	vanS-A	13	1.2541604360619363e-4
vanY-A	GLYCOPEPTIDE	VANCOMYCIN	AMR	vanY-A	13	1.2541604360619363e-4
vanZ-A	GLYCOPEPTIDE	VANCOMYCIN	AMR	vanZ-A	13	1.2541604360619363e-4
erm(54)	LINCOSAMIDE/MACROLIDE	CLINDAMYCIN/ERYTHROMYCIN	AMR	erm(54)	11	1.0612126766677921e-4
tet(O)	TETRACYCLINE	TETRACYCLINE	AMR	tet(O)	10	9.647387969707202e-5
fosB	FOSFOMYCIN	FOSFOMYCIN	AMR	fosB	9	8.682649172736481e-5
murA_Q362R	FOSFOMYCIN	FOSFOMYCIN	AMR	murA	9	8.682649172736481e-5
aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	AMR	aph(3')-Ia	8	7.717910375765762e-5
mprF_V351E	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	8	7.717910375765762e-5
rpoB_Q468R	RIFAMYCIN	RIFAMPIN	AMR	rpoB	8	7.717910375765762e-5
gyrB_D436N	QUINOLONE	QUINOLONE	AMR	gyrB	7	6.753171578795041e-5
rpoB_I527F	RIFAMYCIN	RIFAMPIN	AMR	rpoB	7	6.753171578795041e-5
arsR	ARSENIC	ARSENIC	STRESS	arsR_pSX267	6	5.788432781824321e-5
fusA_H457L	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	6	5.788432781824321e-5
fusA_R659L	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	6	5.788432781824321e-5
glpT_G352D	FOSFOMYCIN	FOSFOMYCIN	AMR	glpT	6	5.788432781824321e-5
glpT_W137R	FOSFOMYCIN	FOSFOMYCIN	AMR	glpT	6	5.788432781824321e-5
gyrB_S127L	AMINOCOUMARIN	AMINOCOUMARIN	AMR	gyrB	6	5.788432781824321e-5
mef(D)	MACROLIDE	ERYTHROMYCIN	AMR	mef(D)	6	5.788432781824321e-5
msrF	MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/PRISTINAMYCIN	AMR	msr(F)	6	5.788432781824321e-5
blaTEM-181	BETA-LACTAM	BETA-LACTAM	AMR	blaTEM-181	5	4.823693984853601e-5
fusA_L456F	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	5	4.823693984853601e-5
fusA_T656K	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	5	4.823693984853601e-5
mecC2	BETA-LACTAM	METHICILLIN	AMR	mecC2	5	4.823693984853601e-5
mprF_T472K	LIPOPEPTIDE	DAPTOMYCIN	AMR	mprF	5	4.823693984853601e-5
parC_Y83N	QUINOLONE	QUINOLONE	AMR	parC	5	4.823693984853601e-5
tet(63)	TETRACYCLINE	TETRACYCLINE	AMR	tet(63)	5	4.823693984853601e-5
walK_L10F	LIPOPEPTIDE	DAPTOMYCIN	AMR	walK	5	4.823693984853601e-5
dfrD	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrD	4	3.858955187882881e-5
fosB5	FOSFOMYCIN	FOSFOMYCIN	AMR	fosB5	4	3.858955187882881e-5
fusA_L430S	FUSIDIC_ACID	FUSIDIC_ACID	AMR	fusA	4	3.858955187882881e-5
gyrB_I101S	AMINOCOUMARIN	AMINOCOUMARIN	AMR	gyrB	4	3.858955187882881e-5
gyrB_R143S	AMINOCOUMARIN	AMINOCOUMARIN	AMR	gyrB	4	3.858955187882881e-5
parE_D443E	QUINOLONE	QUINOLONE	AMR	parE	4	3.858955187882881e-5
pbp4_F241R	BETA-LACTAM	CEPHALOSPORIN	AMR	pbp4	4	3.858955187882881e-5
qacH	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacH_Lis	4	3.858955187882881e-5
tet(C)	TETRACYCLINE	TETRACYCLINE	AMR	tet(C)	4	3.858955187882881e-5
uhpT_W228STOP	FOSFOMYCIN	FOSFOMYCIN	AMR	uhpT	4	3.858955187882881e-5
walK_R263C	LIPOPEPTIDE	DAPTOMYCIN	AMR	walK	4	3.858955187882881e-5
aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aadA1	3	2.8942163909121605e-5
