Gene symbol	Class	Subclass	Element type	Hierarchy node	n	freq
blaPDC-3	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-3	3656	0.14709905850164964
trxLHR	NA	NA	STRESS	LHR_trx	3494	0.14058099299911483
shsP	NA	NA	STRESS	LHR_hsp20B	3131	0.12597569807676834
yfdX1	NA	NA	STRESS	LHR_yfdX1	3130	0.12593546310453047
yfdX2	NA	NA	STRESS	LHR_yfdX2	3100	0.12472841393739438
hdeD-GI	NA	NA	STRESS	LHR_hdeD	3074	0.12368230465920979
kefB-GI	NA	NA	STRESS	LHR_kefB	2994	0.12046350688018025
psi-GI	NA	NA	STRESS	LHR_psiE	2744	0.11040476382071296
blaPDC-8	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-8	2587	0.1040878731793675
blaPDC-5	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-5	2531	0.10183471473404683
blaOXA-494	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-494	2333	0.09386819023094874
blaPDC-34	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-34	2222	0.08940210831254526
blaOXA-486	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-486	2036	0.0819184034763016
blaOXA-396	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-396	1672	0.06727287358171723
aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aph(3'')-Ib	1671	0.06723263860947935
aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aph(6)-Id	1634	0.0657439446366782
blaPDC-35	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-35	1596	0.06421501569163918
merF	MERCURY	MERCURY	STRESS	merF	1523	0.06127786271827473
ant(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	ant(2'')-Ia	1478	0.059467288967570614
blaOXA-395	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-395	1415	0.05693248571658486
chrA	CHROMATE	CHROMATE	STRESS	chrA	1372	0.05520238191035648
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	AMR	aac(6')-Ib4	1320	0.053110163353987286
aadA6	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aadA6	1293	0.052023819103564815
blaVIM-2	BETA-LACTAM	CARBAPENEM	AMR	blaVIM-2	1268	0.05101794479761809
blaOXA-847	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-847	1223	0.04920737104691398
blaPDC-19a	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-19a	1176	0.047316327351734126
tet(G)	TETRACYCLINE	TETRACYCLINE	AMR	tet(G)	1144	0.046028808240122315
aac(6')-Il	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	aac(6')-Il	1108	0.044580349239559024
blaPDC	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC	1065	0.04285024543333065
gyrB_S466F	QUINOLONE	QUINOLONE	AMR	gyrB	1010	0.04063732196024785
floR2	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	AMR	floR2	1008	0.04055685201577211
blaOXA	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-50_fam	1000	0.040234972237869156
aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aadA1	881	0.035447010541562726
blaOXA-10	BETA-LACTAM	CEPHALOSPORIN	AMR	blaOXA-10	841	0.03383761165204796
qnrVC1	QUINOLONE	QUINOLONE	AMR	qnrVC1	767	0.030860223706445644
dfrB5	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB5	763	0.030699283817494167
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	AMR	aac(3)-Ia	754	0.030337169067353342
blaPDC-16	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-16	754	0.030337169067353342
aac(3)-Id	AMINOGLYCOSIDE	GENTAMICIN	AMR	aac(3)-Id	741	0.029814114428261044
parE_A473V	QUINOLONE	QUINOLONE	AMR	parE	707	0.028446125372173493
merB	MERCURY	ORGANOMERCURY	STRESS	merB	704	0.028325420455459886
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	aac(6')-Ib3	668	0.026876961454896597
aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aadA2	661	0.026595316649231513
blaOXA-2	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-2	612	0.024623803009575923
blaOXA-905	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-905	609	0.024503098092862316
gyrA_D87N	QUINOLONE	QUINOLONE	AMR	gyrA	607	0.02442262814838658
ftsI_R504C	BETA-LACTAM	CARBAPENEM	AMR	ftsI	603	0.024261688259435102
aadA11	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aadA11	601	0.02418121831495936
floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	AMR	floR	550	0.022129234730828035
fusA1_T456A	AMINOGLYCOSIDE	AMIKACIN	AMR	fusA1	547	0.022008529814114428
aph(3')-XV	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	aph(3')-XV	546	0.021968294841876557
ftsI_V471G	BETA-LACTAM	CARBAPENEM	AMR	ftsI	540	0.021726885008449343
blaPDC-24	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-24	527	0.021203830369357045
blaNDM-1	BETA-LACTAM	CARBAPENEM	AMR	blaNDM-1	522	0.0210026555081677
msr(E)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	AMR	msr(E)	475	0.019111611812987848
blaOXA-848	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-848	467	0.018789732035084897
blaOXA-904	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-904	462	0.01858855717389555
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	AMR	aac(6')-Ib-G	458	0.018427617284944072
sul2	SULFONAMIDE	SULFONAMIDE	AMR	sul2	456	0.018347147340468335
parC_S87W	QUINOLONE	QUINOLONE	AMR	parC	427	0.017180333145570128
ftsI_F533L	BETA-LACTAM	CARBAPENEM	AMR	ftsI	419	0.016858453367667177
ble	BLEOMYCIN	BLEOMYCIN	AMR	ble-MBL	414	0.01665727850647783
blaOXA-846	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-846	404	0.016254928784099138
catB3	PHENICOL	CHLORAMPHENICOL	AMR	catB3	404	0.016254928784099138
blaPDC-15	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-15	397	0.015973283978434054
blaPDC-11	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-11	394	0.015852579061720447
blaKPC-2	BETA-LACTAM	CARBAPENEM	AMR	blaKPC-2	391	0.01573187414500684
blaOXA-851	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-851	389	0.015651404200531103
blaCARB-2	BETA-LACTAM	BETA-LACTAM	AMR	blaCARB-2	350	0.014082240283254204
gyrB_E468D	QUINOLONE	QUINOLONE	AMR	gyrB	336	0.013518950671924036
blaOXA-1032	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1032	331	0.01331777581073469
cmlA5	PHENICOL	CHLORAMPHENICOL	AMR	cmlA5	319	0.01283495614388026
oprD_W277STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	315	0.012674016254928784
aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	AMR	aph(3')-Ia	314	0.012633781282690914
tet(C)	TETRACYCLINE	TETRACYCLINE	AMR	tet(C)	308	0.0123923714492637
mexZ_G195E	BETA-LACTAM	CEPHALOSPORIN	AMR	mexZ	302	0.012150961615836484
blaPDC-31	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-31	289	0.011627906976744186
toprJ1	TETRACYCLINE	TIGECYCLINE	AMR	toprJ1	289	0.011627906976744186
tet(A)	TETRACYCLINE	TETRACYCLINE	AMR	tet(A)	280	0.011265792226603363
blaOXA-1028	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1028	267	0.010742737587511065
qacE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacE_gen	260	0.01046109278184598
aph(3')-VIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	aph(3')-VIa	259	0.010420857809608112
ampR_G154R	BETA-LACTAM	CEPHALOSPORIN	AMR	ampR	254	0.010219682948418766
blaOXA-1035	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1035	243	0.009777098253802205
qacG2	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacG2	242	0.009736863281564336
qacL	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacL	242	0.009736863281564336
merC	MERCURY	ORGANOMERCURY	STRESS	merC	241	0.009696628309326466
aac(3)-Ic	AMINOGLYCOSIDE	GENTAMICIN	AMR	aac(3)-Ic	240	0.009656393337088598
blaPDC-30	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-30	239	0.009616158364850727
blaTEM	BETA-LACTAM	BETA-LACTAM	AMR	blaTEM	235	0.009455218475899252
blaTEM-116	BETA-LACTAM	BETA-LACTAM	AMR	blaTEM-116	235	0.009455218475899252
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	aac(6')-Ib-AKT	233	0.009374748531423513
tmexD3	TETRACYCLINE	TIGECYCLINE	AMR	tmexD3	230	0.009254043614709906
blaGES-5	BETA-LACTAM	CARBAPENEM	AMR	blaGES-5	222	0.008932163836806952
dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrA1	219	0.008811458920093345
aac(6')-29a	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	aac(6')-29a	214	0.008610284058903999
blaPDC-12	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-12	214	0.008610284058903999
cmlA1	PHENICOL	CHLORAMPHENICOL	AMR	cmlA1	211	0.008489579142190392
blaOXA-4	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-4	210	0.008449344169952524
arr-2	RIFAMYCIN	RIFAMYCIN	AMR	arr-2	207	0.008328639253238915
tmexC3	TETRACYCLINE	TIGECYCLINE	AMR	tmexC3	206	0.008288404281001046
aac(6')-29b	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	aac(6')-29b	204	0.008207934336525308
amgS_V121G	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	amgS	202	0.008127464392049569
dfrA5	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrA5	196	0.007886054558622355
cmlA6	PHENICOL	CHLORAMPHENICOL	AMR	cmlA6	194	0.007805584614146616
qacF	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacF	185	0.007443469864005793
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	AMR	aac(6')-Ib'	184	0.007403234891767925
blaOXA-1127	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1127	181	0.007282529975054317
blaPDC-36	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-36	181	0.007282529975054317
mexR_R83C	BETA-LACTAM	CARBAPENEM	AMR	mexR	181	0.007282529975054317
catA1	PHENICOL	CHLORAMPHENICOL	AMR	catA1	180	0.007242295002816448
cmx	PHENICOL	CHLORAMPHENICOL	AMR	cmx	180	0.007242295002816448
oprD_W65STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	180	0.007242295002816448
blaPDC-14	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-14	170	0.006839945280437756
glpT_T211P	FOSFOMYCIN	FOSFOMYCIN	AMR	glpT	170	0.006839945280437756
oprD_W417STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	170	0.006839945280437756
blaPDC-37	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-37	166	0.00667900539148628
gyrA_D87Y	QUINOLONE	QUINOLONE	AMR	gyrA	165	0.006638770419248411
aadA7	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aadA7	161	0.006477830530296934
fusA1_Y552C	AMINOGLYCOSIDE	AMIKACIN	AMR	fusA1	158	0.0063571256135833264
blaOXA-1034	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1034	154	0.00619618572463185
oprD_Q142STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	151	0.006075480807918242
blaIMP-26	BETA-LACTAM	CARBAPENEM	AMR	blaIMP-26	148	0.005954775891204635
ant(4')-IIb	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	ant(4')-IIb	145	0.005834070974491028
pmrB_H340R	COLISTIN	COLISTIN	AMR	pmrB	145	0.005834070974491028
tmexC	TETRACYCLINE	TIGECYCLINE	AMR	tmexC	143	0.005753601030015289
blaOXA-1033	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1033	140	0.0056328961133016815
mph(E)	MACROLIDE	ERYTHROMYCIN	AMR	mph(E)	139	0.005592661141063813
blaPDC-71	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-71	135	0.005431721252112336
pmrB_T343A	COLISTIN	COLISTIN	AMR	pmrB	134	0.0053914862798744665
aadA10	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aadA10	132	0.005311016335398729
blaPDC-38	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-38	132	0.005311016335398729
blaTEM-1	BETA-LACTAM	BETA-LACTAM	AMR	blaTEM-1	132	0.005311016335398729
phoQ_V260G	COLISTIN	COLISTIN	AMR	phoQ	125	0.0050293715297336445
blaPDC-121	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-121	124	0.004989136557495775
blaIMP-8	BETA-LACTAM	CARBAPENEM	AMR	blaIMP-8	123	0.004948901585257906
blaPDC-103	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-103	123	0.004948901585257906
gyrA_D87H	QUINOLONE	QUINOLONE	AMR	gyrA	119	0.0047879616963064295
smr	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	SMR_efflux_smr	118	0.00474772672406856
blaPDC-6	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-6	116	0.004667256779592822
ere(A)	MACROLIDE	ERYTHROMYCIN	AMR	ere(A)	115	0.004627021807354953
blaVEB-9	BETA-LACTAM	CEPHALOSPORIN	AMR	blaVEB-9	114	0.004586786835117084
aph(3')-VI	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	aph(3')-VI	111	0.004466081918403476
qacE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacE	109	0.004385611973927738
fusA1_R680C	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	fusA1	108	0.004345377001689869
aac(6')-29	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	aac(6')-29	105	0.004224672084976262
blaIMP-1	BETA-LACTAM	CARBAPENEM	AMR	blaIMP-1	105	0.004224672084976262
gyrB_S466Y	QUINOLONE	QUINOLONE	AMR	gyrB	105	0.004224672084976262
arr-3	RIFAMYCIN	RIFAMYCIN	AMR	arr-3	101	0.0040637321960247845
blaIMP-7	BETA-LACTAM	CARBAPENEM	AMR	blaIMP-7	101	0.0040637321960247845
ampD_T139M	BETA-LACTAM	CEPHALOSPORIN	AMR	ampD	100	0.004023497223786915
blaOXA-35	BETA-LACTAM	CEPHALOSPORIN	AMR	blaOXA-35	100	0.004023497223786915
rmtF2	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	rmtF2	100	0.004023497223786915
blaPDC-98	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-98	98	0.0039430272793111775
dfrB2	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB2	98	0.0039430272793111775
hsp20	NA	NA	STRESS	LHR_hsp20A	96	0.003862557334835439
blaPDC-60	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-60	94	0.0037820873903597007
oprD_W138STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	94	0.0037820873903597007
oprD_W339STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	94	0.0037820873903597007
blaOXA-901	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-901	93	0.0037418524181218314
blaPDC-66	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-66	93	0.0037418524181218314
ftsI_P527S	BETA-LACTAM	CARBAPENEM	AMR	ftsI	92	0.0037016174458839625
aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	aac(6')-set_A	90	0.003621147501408224
rplB_G138D	AMINOGLYCOSIDE	TOBRAMYCIN	AMR	rplB	90	0.003621147501408224
blaPDC-39	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-39	89	0.003580912529170355
blaPDC-46	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-46	89	0.003580912529170355
blaPDC-22	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-22	88	0.0035406775569324857
catB	PHENICOL	CHLORAMPHENICOL	AMR	catB	88	0.0035406775569324857
aacA37	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	aacA37	85	0.003419972640218878
blaPAC-1	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPAC-1	85	0.003419972640218878
aacA8	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	aacA8	84	0.003379737667981009
aadA13	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	aadA13	84	0.003379737667981009
parE_S457G	QUINOLONE	QUINOLONE	AMR	parE	83	0.00333950269574314
aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	aac(6')-IIa	81	0.003259032751267402
blaOXA-914	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-914	81	0.003259032751267402
rmtB4	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	rmtB4	81	0.003259032751267402
tmexD2	TETRACYCLINE	TIGECYCLINE	AMR	tmexD2	80	0.0032187977790295325
blaOXA-1026	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1026	79	0.0031785628067916632
blaPDC-97	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-97	78	0.0031383278345537943
blaOXA-906	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-906	77	0.003098092862315925
blaPDC-59	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-59	77	0.003098092862315925
gyrA_T83A	QUINOLONE	QUINOLONE	AMR	gyrA	77	0.003098092862315925
blaOXA-1014	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1014	75	0.003017622917840187
blaOXA-1030	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1030	75	0.003017622917840187
blaOXA-1135	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1135	75	0.003017622917840187
gyrA_D87G	QUINOLONE	QUINOLONE	AMR	gyrA	75	0.003017622917840187
blaAER	BETA-LACTAM	BETA-LACTAM	AMR	blaAER	74	0.0029773879456023175
pmrB_A248T	COLISTIN	COLISTIN	AMR	pmrB	73	0.0029371529733644482
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	AMR	aac(3)-IIe	72	0.0028969180011265794
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	aac(6')-IIc	70	0.0028164480566508407
mreA	NA	NA	STRESS	mreA	68	0.0027359781121751026
blaGES-1	BETA-LACTAM	CEPHALOSPORIN	AMR	blaGES-1	67	0.0026957431399372333
blaPER-1	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPER-1	67	0.0026957431399372333
blaVIM-4	BETA-LACTAM	CARBAPENEM	AMR	blaVIM-4	67	0.0026957431399372333
blaVIM-1	BETA-LACTAM	CARBAPENEM	AMR	blaVIM-1	66	0.0026555081676993644
blaOXA	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-10_fam	65	0.002615273195461495
blaOXA-913	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-913	65	0.002615273195461495
aph(3')-VIb	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	aph(3')-VIb	64	0.0025750382232236258
blaGES-9	BETA-LACTAM	CEPHALOSPORIN	AMR	blaGES-9	64	0.0025750382232236258
ampR_D135G	BETA-LACTAM	CEPHALOSPORIN	AMR	ampR	63	0.002534803250985757
blaOXA	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-2_fam	63	0.002534803250985757
blaVEB-1	BETA-LACTAM	CEPHALOSPORIN	AMR	blaVEB-1	61	0.0024543333065100187
toprJ	TETRACYCLINE	TIGECYCLINE	AMR	toprJ	61	0.0024543333065100187
blaPDC-142	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-142	60	0.0024140983342721494
fusA1_T671A	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	fusA1	60	0.0024140983342721494
mexZ_Q134STOP	BETA-LACTAM	CARBAPENEM	AMR	mexZ	60	0.0024140983342721494
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	AMR	aac(3)-IId	59	0.00237386336203428
blaPDC-41	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-41	59	0.00237386336203428
blaOXA-485	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-485	58	0.002333628389796411
blaVEB	BETA-LACTAM	CEPHALOSPORIN	AMR	blaVEB	58	0.002333628389796411
mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	AMR	mph(A)	58	0.002333628389796411
blaPME-1	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPME-1	57	0.002293393417558542
fusA1_T671I	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	fusA1	57	0.002293393417558542
parR_M59I	COLISTIN	COLISTIN	AMR	parR	57	0.002293393417558542
oprD_W6STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	56	0.0022531584453206726
oprD_S319STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	55	0.0022129234730828037
aph(3')-IIa	AMINOGLYCOSIDE	KANAMYCIN	AMR	aph(3')-IIa	54	0.0021726885008449344
blaPDC-120	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-120	54	0.0021726885008449344
merG	MERCURY	PHENYLMERCURY	STRESS	merG	54	0.0021726885008449344
blaIMP-31	BETA-LACTAM	CARBAPENEM	AMR	blaIMP-31	53	0.002132453528607065
blaOXA-1174	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1174	53	0.002132453528607065
blaOXA-246	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-246	52	0.0020922185563691962
dfrA14	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrA14	52	0.0020922185563691962
rmtF	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	rmtF	52	0.0020922185563691962
oprD_E176STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	51	0.002051983584131327
rmtB1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	rmtB1	51	0.002051983584131327
blaOXA-9	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-9	50	0.0020117486118934576
blaVIM-80	BETA-LACTAM	CARBAPENEM	AMR	blaVIM-80	50	0.0020117486118934576
cmlB	PHENICOL	CHLORAMPHENICOL	AMR	cmlB	50	0.0020117486118934576
dfrB1	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB1	50	0.0020117486118934576
fusA1_Q678L	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	fusA1	50	0.0020117486118934576
blaOXA-796	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-796	49	0.0019715136396555887
dfrA47	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrA47	49	0.0019715136396555887
aac(2')-I(A267)	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	AMR	aac(2')-I(A267)	47	0.0018910436951798503
blaPDC-286	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-286	47	0.0018910436951798503
aph(3')-Ib	AMINOGLYCOSIDE	KANAMYCIN	AMR	aph(3')-Ib	45	0.001810573750704112
blaRSC1	BETA-LACTAM	CEPHALOSPORIN	AMR	blaRSC1	45	0.001810573750704112
blaGES	BETA-LACTAM	CEPHALOSPORIN	AMR	blaGES	44	0.0017703387784662428
blaPDC-109	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-109	44	0.0017703387784662428
blaIMP-4	BETA-LACTAM	CARBAPENEM	AMR	blaIMP-4	43	0.0017301038062283738
blaOXA-1	BETA-LACTAM	CEPHALOSPORIN	AMR	blaOXA-1	43	0.0017301038062283738
oprD_Q424STOP	BETA-LACTAM	CARBAPENEM	AMR	oprD	43	0.0017301038062283738
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	aac(6')-33	41	0.0016496338617526354
blaPDC-64	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-64	41	0.0016496338617526354
blaKBL	BETA-LACTAM	BETA-LACTAM	AMR	blaKBL	40	0.0016093988895147663
blaOXA-1125	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-1125	40	0.0016093988895147663
blaPDC-168	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-168	40	0.0016093988895147663
blaPDC-28	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-28	39	0.0015691639172768972
