Gene symbol	Class	Subclass	Species	Element type	n	nspp	freq
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter roggenkampii	AMR	1	509	0.0019646365422396855
aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	4	6055	6.606110652353427e-4
aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter roggenkampii	AMR	1	509	0.0019646365422396855
aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter sichuanensis	AMR	1	61	0.01639344262295082
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter asburiae_B	AMR	17	228	0.07456140350877193
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter bugandensis	AMR	1	230	0.004347826086956522
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter chengduensis	AMR	7	76	0.09210526315789473
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae	AMR	9	457	0.019693654266958426
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_L	AMR	1	18	0.05555555555555555
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_M	AMR	71	407	0.17444717444717445
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei	AMR	16	127	0.12598425196850394
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	496	6055	0.08191577208918249
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter kobei	AMR	81	759	0.1067193675889328
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter ludwigii	AMR	2	223	0.008968609865470852
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter roggenkampii	AMR	6	509	0.011787819253438114
aac(6')-Ia	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter asburiae_B	AMR	3	228	0.013157894736842105
aac(6')-Ia	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter hormaechei_A	AMR	7	6055	0.0011560693641618498
aac(6')-Ia	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter mori	AMR	1	44	0.022727272727272728
aac(6')-Ian	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter asburiae_B	AMR	1	228	0.0043859649122807015
aac(6')-Ian	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	1	6055	1.6515276630883568e-4
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_I	AMR	1	39	0.02564102564102564
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_M	AMR	3	407	0.007371007371007371
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	6	6055	9.90916597853014e-4
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter roggenkampii	AMR	1	509	0.0019646365422396855
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae	AMR	3	457	0.006564551422319475
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_I	AMR	1	39	0.02564102564102564
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_M	AMR	3	407	0.007371007371007371
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	161	6055	0.026589595375722544
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter kobei	AMR	1	759	0.0013175230566534915
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter roggenkampii	AMR	5	509	0.009823182711198428
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter sichuanensis	AMR	1	61	0.01639344262295082
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae	AMR	3	53	0.05660377358490566
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	AMR	3	228	0.013157894736842105
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter bugandensis	AMR	1	230	0.004347826086956522
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	AMR	2	76	0.02631578947368421
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	AMR	8	457	0.0175054704595186
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_I	AMR	2	39	0.05128205128205128
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	AMR	5	407	0.012285012285012284
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	AMR	2	127	0.015748031496062992
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	AMR	148	6055	0.02444260941370768
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	AMR	28	759	0.03689064558629776
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter mori	AMR	2	44	0.045454545454545456
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter roggenkampii	AMR	14	509	0.0275049115913556
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sichuanensis	AMR	1	61	0.01639344262295082
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter soli	AMR	1	23	0.043478260869565216
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	AMR	5	228	0.021929824561403508
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_D	AMR	1	15	0.06666666666666667
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	AMR	1	76	0.013157894736842105
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	AMR	3	457	0.006564551422319475
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	AMR	8	407	0.019656019656019656
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_P	AMR	2	9	0.2222222222222222
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	AMR	3	127	0.023622047244094488
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	AMR	200	6055	0.03303055326176713
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	AMR	2	759	0.002635046113306983
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter roggenkampii	AMR	3	509	0.005893909626719057
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter soli	AMR	1	23	0.043478260869565216
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sp013927005	AMR	1	11	0.09090909090909091
aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter cloacae	AMR	5	457	0.010940919037199124
aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter hormaechei	AMR	1	127	0.007874015748031496
aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	58	6055	0.009578860445912468
aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter kobei	AMR	2	759	0.002635046113306983
aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter ludwigii	AMR	1	223	0.004484304932735426
aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter sichuanensis	AMR	1	61	0.01639344262295082
aac(6')-Ib-cr4	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	1	6055	1.6515276630883568e-4
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter asburiae_B	AMR	21	228	0.09210526315789473
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter asburiae_E	AMR	3	4	0.75
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter bugandensis	AMR	23	230	0.1
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter chengduensis	AMR	37	76	0.4868421052631579
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter chuandaensis	AMR	1	6	0.16666666666666666
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter cloacae	AMR	100	457	0.2188183807439825
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter cloacae_I	AMR	13	39	0.3333333333333333
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter cloacae_M	AMR	110	407	0.2702702702702703
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter cloacae_Q	AMR	1	1	1
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter hormaechei	AMR	53	127	0.41732283464566927
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	1554	6055	0.2566473988439306
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter kobei	AMR	159	759	0.20948616600790515
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter ludwigii	AMR	3	223	0.013452914798206279
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter mori	AMR	2	44	0.045454545454545456
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter quasihormaechei	AMR	5	23	0.21739130434782608
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter roggenkampii	AMR	32	509	0.06286836935166994
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter sichuanensis	AMR	6	61	0.09836065573770492
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter soli	AMR	1	23	0.043478260869565216
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter sp013927005	AMR	2	11	0.18181818181818182
aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter_A timonensis	AMR	2	3	0.6666666666666666
aac(6')-Ib-cr7	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter asburiae_B	AMR	1	228	0.0043859649122807015
aac(6')-Ib-cr7	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	1	6055	1.6515276630883568e-4
aac(6')-Ib11	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter chengduensis	AMR	1	76	0.013157894736842105
aac(6')-Ib11	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae	AMR	2	457	0.00437636761487965
aac(6')-Ib11	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	2	6055	3.3030553261767135e-4
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter asburiae_B	AMR	14	228	0.06140350877192982
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter chengduensis	AMR	2	76	0.02631578947368421
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae	AMR	11	457	0.024070021881838075
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_I	AMR	1	39	0.02564102564102564
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter cloacae_M	AMR	59	407	0.14496314496314497
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei	AMR	8	127	0.06299212598425197
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	378	6055	0.06242774566473988
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter kobei	AMR	23	759	0.030303030303030304
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter ludwigii	AMR	3	223	0.013452914798206279
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter quasihormaechei	AMR	6	23	0.2608695652173913
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Enterobacter roggenkampii	AMR	11	509	0.021611001964636542
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae	AMR	6	53	0.11320754716981132
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	AMR	9	228	0.039473684210526314
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_D	AMR	1	15	0.06666666666666667
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter bugandensis	AMR	6	230	0.02608695652173913
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	AMR	6	76	0.07894736842105263
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	AMR	9	457	0.019693654266958426
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_I	AMR	3	39	0.07692307692307693
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	AMR	9	407	0.022113022113022112
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	AMR	11	127	0.08661417322834646
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	AMR	393	6055	0.06490503715937242
