ERS	Isolate	ERR	BioSample	BioProject	Sequecning Status	Year	CTZ	CTX	AMP	AMX	AMC	TZP	CXM	CET	GEN	TBM	TMP	CIP
ERS356758	11658_6#5	ERR434839	SAMEA2204247	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356759	11658_7#1	ERR434931	SAMEA2204248	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	S	S	R	S
ERS356760	11658_8#24	ERR435027	SAMEA2204249	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356761	11791_7#3	ERR439668	SAMEA2204250	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356762	11658_5#6	ERR434744	SAMEA2204251	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356763	11658_5#7	ERR434745	SAMEA2204252	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356764	11658_5#8	ERR434746	SAMEA2204253	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356765	11658_4#4	ERR434646	SAMEA2204254	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356766	11658_4#5	ERR434647	SAMEA2204255	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	S	S	S	S
ERS356767	11791_7#4	ERR439669	SAMEA2204256	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356768	11791_7#5	ERR439670	SAMEA2204257	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	R	R	R	R
ERS356769	11658_5#9	ERR434747	SAMEA2204258	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	I	S	S	S	S
ERS356770	11791_7#6	ERR439671	SAMEA2204259	PRJEB4681	Previously sequenced	2007	S	S	R		R	R	R	R	S	R	R	R
ERS356771	11657_5#4	ERR434262	SAMEA2204260	PRJEB4681	Previously sequenced	2007	S	S	S		S		S	S	S	S	S	S
ERS356772	11657_6#1	ERR434355	SAMEA2204261	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	S	S	R	R
ERS356773	11658_5#10	ERR434748	SAMEA2204262	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	S	I	S	S	R	S
ERS356774	11658_7#2	ERR434932	SAMEA2204263	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	S	S	S	S
ERS356775	11658_5#11	ERR434749	SAMEA2204264	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	S	I	R	I	R	R
ERS356776	11658_7#3	ERR434933	SAMEA2204265	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	S	S	R	S
ERS356777	11658_7#4	ERR434934	SAMEA2204266	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	S	S	S	S
ERS356778	11658_8#25	ERR435028	SAMEA2204267	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	I	S	S	S	S
ERS356779	11658_6#6	ERR434840	SAMEA2204268	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	S	S	S	S
ERS356780	11658_7#5	ERR434935	SAMEA2204269	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356781	11658_6#7	ERR434841	SAMEA2204270	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	I	S	S	R	S
ERS356782	11658_8#26	ERR435029	SAMEA2204271	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	S	S	S	R	R
ERS356783	11658_5#12	ERR434750	SAMEA2204272	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	S	I	S	S	S	I
ERS356784	11658_6#8	ERR434842	SAMEA2204273	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	S	I	S	S	S	I
ERS356785	11658_5#13	ERR434751	SAMEA2204274	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356786	11658_6#9	ERR434843	SAMEA2204275	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	S	I	S	S	S	S
ERS356787	11658_5#14	ERR434752	SAMEA2204276	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	S	S	S	R
ERS356788	11657_5#5	ERR434263	SAMEA2204277	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	R	R	R	S
ERS356789	11658_3#1	ERR434547	SAMEA2204278	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356790	11791_7#7	ERR439672	SAMEA2204279	PRJEB4681	Previously sequenced	2007	R	R	R		S	S	R	R	S	S	S	R
ERS356791	11658_6#10	ERR434844	SAMEA2204280	PRJEB4681	Previously sequenced	2007	R	R	R		R	S	R	R	S	R	R	R
ERS356792	11658_6#11	ERR434845	SAMEA2204281	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	S	S	S	S	R	S
ERS356793	11679_4#1	ERR435100	SAMEA2204282	PRJEB4681	Previously sequenced	2007	I	R	R		R	S	R	R	S	S	R	R
ERS356794	11658_6#12	ERR434846	SAMEA2204283	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356795	11658_8#27	ERR435030	SAMEA2204284	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	I	S	S	R	R
ERS356796	11791_6#2	ERR439630	SAMEA2204285	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	I	S	S	R	R
ERS356797	11658_7#6	ERR434936	SAMEA2204286	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	R	S
ERS356798	11791_7#9	ERR439673	SAMEA2204287	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	I	S	S	S	S
ERS356799	11791_7#10	ERR439674	SAMEA2204288	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	I	S	S	S	S
ERS356800	11658_7#7	ERR434937	SAMEA2204289	PRJEB4681	Previously sequenced	2008	R	R	R		S	S	R	R	S	S	R	R
ERS356801	11658_5#15	ERR434753	SAMEA2204290	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356802	11791_7#11	ERR439675	SAMEA2204291	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	S	S
ERS356803	11791_7#12	ERR439676	SAMEA2204292	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356804	11658_4#6	ERR434648	SAMEA2204293	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	I	S	S	S	S
ERS356805	11658_6#13	ERR434847	SAMEA2204294	PRJEB4681	Previously sequenced	2008	S	R	R		R	S	R	R	S	R	R	R
ERS356806	11657_6#2	ERR434356	SAMEA2204295	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356807	11658_6#14	ERR434848	SAMEA2204296	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	R	R
ERS356808	11658_6#15	ERR434849	SAMEA2204297	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	I	S	S	R	R
ERS356809	11658_8#28	ERR435031	SAMEA2204298	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356810	11658_8#29	ERR435032	SAMEA2204299	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356811	11658_7#8	ERR434938	SAMEA2204300	PRJEB4681	Previously sequenced	2008	S	S	R		R	S	S	I	R	R	R	R
ERS356812	11658_5#16	ERR434754	SAMEA2204301	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	I	S	S	I	S
ERS356813	11658_6#16	ERR434850	SAMEA2204302	PRJEB4681	Previously sequenced	2008	R	R	R		R	I	R	R	S	S	R	R
ERS356814	11658_7#9	ERR434939	SAMEA2204303	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356815	11658_8#30	ERR435033	SAMEA2204304	PRJEB4681	Previously sequenced	2008	R	R	R		R	S	R	R	R	R	S	R
ERS356816	11658_8#31	ERR435034	SAMEA2204305	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356817	11791_7#13	ERR439677	SAMEA2204306	PRJEB4681	Previously sequenced	2008	S	S	R		R	R	S	I	S	S	S	S
ERS356818	11791_7#14	ERR439678	SAMEA2204307	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356819	11658_7#10	ERR434940	SAMEA2204308	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	I	S	S	S	S
ERS356820	11658_6#17	ERR434851	SAMEA2204309	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	R	S
ERS356821	11791_7#15	ERR439679	SAMEA2204310	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356822	11658_5#17	ERR434755	SAMEA2204311	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356823	11658_5#18	ERR434756	SAMEA2204312	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356824	11658_7#11	ERR434941	SAMEA2204313	PRJEB4681	Previously sequenced	2008	S	S	R		R	S	S	I	S	S	S	S
ERS356825	11658_6#18	ERR434852	SAMEA2204314	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356826	11658_4#7	ERR434649	SAMEA2204315	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	I	S	S	S	S
ERS356828	11658_6#19	ERR434853	SAMEA2204317	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	S	S
ERS356829	11791_6#3	ERR439631	SAMEA2204318	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	R	S
ERS356830	11658_6#20	ERR434854	SAMEA2204319	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356831	11658_5#19	ERR434757	SAMEA2204320	PRJEB4681	Previously sequenced	2008	S	R	R		R	S	R	R	S	R	R	R
ERS356832	11658_4#8	ERR434650	SAMEA2204321	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	I	S	S	S	S
ERS356833	11658_8#32	ERR435035	SAMEA2204322	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	I	S	S	R	S
ERS356834	11658_7#13	ERR434943	SAMEA2204323	PRJEB4681	Previously sequenced	2008	S	S	R		R	R	R	I	S	S	R	S
ERS356835	11658_4#9	ERR434651	SAMEA2204324	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	I	S	S	S	S
ERS356836	11657_6#3	ERR434357	SAMEA2204325	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	I	I	I	S	S
ERS356837	11679_5#1	ERR435196	SAMEA2204326	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	S	S
ERS356838	11658_5#20	ERR434758	SAMEA2204327	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	S	S
ERS356839	11658_5#21	ERR434759	SAMEA2204328	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356840	11658_5#22	ERR434760	SAMEA2204329	PRJEB4681	Previously sequenced	2008	S	S	R		R	S	S	I	S	S	R	R
ERS356841	11658_5#23	ERR434761	SAMEA2204330	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	S	S
ERS356843	11658_8#33	ERR435036	SAMEA2204332	PRJEB4681	Previously sequenced	2008	R	R	R		S	S	R	R	S	S	S	S
ERS356844	11658_8#34	ERR435037	SAMEA2204333	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356845	11657_6#4	ERR434358	SAMEA2204334	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	R	R
ERS356846	11658_5#25	ERR434763	SAMEA2204335	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356847	11658_4#10	ERR434652	SAMEA2204336	PRJEB4681	Previously sequenced	2008	S	S	S		S	S	S	S	S	S	S	S
ERS356848	11658_6#21	ERR434855	SAMEA2204337	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	S	S
ERS356849	11658_7#14	ERR434944	SAMEA2204338	PRJEB4681	Previously sequenced	2008	S	R	R		R	S	R	R	S	S	S	S
ERS356850	11658_5#26	ERR434764	SAMEA2204339	PRJEB4681	Previously sequenced	2008	R	R	R		R	S	R	R	S	R	R	R
ERS356851	11658_5#27	ERR434765	SAMEA2204340	PRJEB4681	Previously sequenced	2008	S	S	R		R	S	R	R	S	S	S	S
ERS356852	11791_6#4	ERR439632	SAMEA2204341	PRJEB4681	Previously sequenced	2008	S	S	R		S	S	S	S	S	S	R	S
ERS356853	11658_7#15	ERR434945	SAMEA2204342	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	R	I	S	R	R	R
ERS356854	11791_6#5	ERR439633	SAMEA2204343	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	I	S	S	S	S
ERS356855	11658_5#28	ERR434766	SAMEA2204344	PRJEB4681	Previously sequenced	2009	I	R	R		R	S	R	R	S	R	R	R
ERS356856	11791_7#16	ERR439680	SAMEA2204345	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356857	11658_6#22	ERR434856	SAMEA2204346	PRJEB4681	Previously sequenced	2009	R	R	R		R	S	R	R	S	S	S	I
ERS356858	11658_4#11	ERR434653	SAMEA2204347	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	I	S	S	R	S
ERS356859	11658_5#29	ERR434767	SAMEA2204348	PRJEB4681	Previously sequenced	2009	S	S	R		R	R	S	I	S	S	S	S
ERS356860	11658_4#12	ERR434654	SAMEA2204349	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	I	S	S	R	S
ERS356861	11658_4#13	ERR434655	SAMEA2204350	PRJEB4681	Previously sequenced	2009	S	R	R		S	S	R	R	S	S	R	S
ERS356862	11658_6#23	ERR434857	SAMEA2204351	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	I	S	S	S	S
ERS356863	11658_4#14	ERR434656	SAMEA2204352	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356864	11658_5#30	ERR434768	SAMEA2204353	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	R	S	S	S	S
ERS356865	11658_7#16	ERR434946	SAMEA2204354	PRJEB4681	Previously sequenced	2009	R	S	R		S	S	S	R	S	S	R	R
ERS356866	11658_8#35	ERR435038	SAMEA2204355	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	S	S	S	R	S
ERS356867	11658_5#31	ERR434769	SAMEA2204356	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356868	11791_7#17	ERR439681	SAMEA2204357	PRJEB4681	Previously sequenced	2009	S	S	R		R	R	S	I	S	S	R	S
ERS356869	11658_7#17	ERR434947	SAMEA2204358	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	I	S	S	S	S
ERS356870	11791_7#18	ERR439682	SAMEA2204359	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	S	S	S	S	S
ERS356871	11657_6#5	ERR434359	SAMEA2204360	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356872	11658_4#15	ERR434657	SAMEA2204361	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356873	11657_5#6	ERR434264	SAMEA2204362	PRJEB4681	Previously sequenced	2009	I	S	R		R		R	R	S	R	R	R
ERS356874	11657_6#6	ERR434360	SAMEA2204363	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	S	S	S	S	S
ERS356875	11658_5#32	ERR434770	SAMEA2204364	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	S	S	S	S	S
ERS356876	11658_6#24	ERR434858	SAMEA2204365	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	R	I	S	S	R	S
ERS356877	11658_7#18	ERR434948	SAMEA2204366	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356878	11658_5#33	ERR434771	SAMEA2204367	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	I	S	S	S	S
ERS356879	11657_5#7	ERR434265	SAMEA2204368	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	S	S	S	S	R
ERS356880	11658_4#16	ERR434658	SAMEA2204369	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	S	S	S	R	S
ERS356881	11791_6#6	ERR439634	SAMEA2204370	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	S	S	S	R	S
ERS356882	11791_7#19	ERR439683	SAMEA2204371	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	I	S
ERS356883	11658_8#36	ERR435039	SAMEA2204372	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	R	I	S	S	S	S
ERS356884	11658_5#34	ERR434772	SAMEA2204373	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	R	S
ERS356885	11658_5#35	ERR434773	SAMEA2204374	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356886	11658_6#25	ERR434859	SAMEA2204375	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	R	R	S	S	S	S
ERS356887	11658_6#26	ERR434860	SAMEA2204376	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356888	11658_7#19	ERR434949	SAMEA2204377	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356889	11658_6#27	ERR434861	SAMEA2204378	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356890	11658_8#37	ERR435040	SAMEA2204379	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356891	11658_6#28	ERR434862	SAMEA2204380	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	S	S	S	S	S
ERS356892	11658_4#17	ERR434659	SAMEA2204381	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356893	11658_5#36	ERR434774	SAMEA2204382	PRJEB4681	Previously sequenced	2009	S	S	R		R	R	S	I	S	S	S	S
ERS356894	11658_5#37	ERR434775	SAMEA2204383	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	I	S	S	S	S
ERS356895	11658_8#38	ERR435041	SAMEA2204384	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	S	I	S	S	R	S
ERS356896	11657_5#8	ERR434266	SAMEA2204385	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	R	I	R	R	S	R
ERS356897	11658_8#39	ERR435042	SAMEA2204386	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	S	S	S	R	R
ERS356898	11658_6#29	ERR434863	SAMEA2204387	PRJEB4681	Previously sequenced	2009	S	S	R		S	R	S	I	S	S	S	S
ERS356899	11791_7#20	ERR439684	SAMEA2204388	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356900	11658_5#38	ERR434776	SAMEA2204389	PRJEB4681	Previously sequenced	2009	I	S	R		R	S	R	R	S	S	R	R
ERS356901	11679_6#1	ERR435292	SAMEA2204390	PRJEB4681	Previously sequenced	2009	S	S	R		R	R	S	I	S	S	R	S
ERS356902	11658_4#18	ERR434660	SAMEA2204391	PRJEB4681	Previously sequenced	2009	S	R	R		R	S	R	R	S	R	R	R
ERS356903	11658_7#20	ERR434950	SAMEA2204392	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	I	S	S	S	S
ERS356904	11658_6#30	ERR434864	SAMEA2204393	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356906	11657_5#9	ERR434267	SAMEA2204395	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356907	11658_4#19	ERR434661	SAMEA2204396	PRJEB4681	Previously sequenced	2009	S	S	R		R	R	R	I	S	S	S	S
ERS356908	11658_7#21	ERR434951	SAMEA2204397	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	S	S	S	S	S
ERS356909	11658_7#22	ERR434952	SAMEA2204398	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356910	11791_6#7	ERR439635	SAMEA2204399	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	R	I	S	R	R	R
ERS356911	11658_7#23	ERR434953	SAMEA2204400	PRJEB4681	Previously sequenced	2009	S	S	R		R	S	R	R	R	R	R	R
ERS356912	11791_7#21	ERR439685	SAMEA2204401	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	I	S	S	S	S
ERS356913	11658_8#40	ERR435043	SAMEA2204402	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356914	11658_6#31	ERR434865	SAMEA2204403	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356915	11658_5#40	ERR434778	SAMEA2204404	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356916	11658_5#41	ERR434779	SAMEA2204405	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	I	S	S	R	R
ERS356917	11658_6#32	ERR434866	SAMEA2204406	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	R	R
ERS356918	11791_7#22	ERR439686	SAMEA2204407	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356919	11658_8#41	ERR435044	SAMEA2204408	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356920	11658_8#42	ERR435045	SAMEA2204409	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	S	S	S	R	S
ERS356921	11658_6#33	ERR434867	SAMEA2204410	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356922	11658_7#24	ERR434954	SAMEA2204411	PRJEB4681	Previously sequenced	2009	S	S	R		S	S	S	S	S	S	R	S
ERS356923	11658_7#25	ERR434955	SAMEA2204412	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	S	S	S	S	S
ERS356924	11657_7#1	ERR434451	SAMEA2204413	PRJEB4681	Previously sequenced	2009	S	S	S		S	S	S	I	S	S	S	S
ERS356925	11658_6#34	ERR434868	SAMEA2204414	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	S	S	S	S	S
ERS356926	11658_7#26	ERR434956	SAMEA2204415	PRJEB4681	Previously sequenced	2010	S	R	R		R	S	R	R	S	R	R	R
ERS356927	11658_5#42	ERR434780	SAMEA2204416	PRJEB4681	Previously sequenced	2010	S	S	R		S	S	S	I	S	S	S	S
ERS356928	11658_8#43	ERR435046	SAMEA2204417	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	S	S	S	S	S
ERS356929	11657_5#10	ERR434268	SAMEA2204418	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	I	S	S	S	S
ERS356930	11679_4#2	ERR435101	SAMEA2204419	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	S	S	S	S	S
ERS356931	11657_6#7	ERR434361	SAMEA2204420	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	I	S	S	S	S
ERS356932	11679_7#1	ERR435388	SAMEA2204421	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	S	S	S	S	S
ERS356933	11658_3#2	ERR434548	SAMEA2204422	PRJEB4681	Previously sequenced	2010	S	I	R		R	S	R	R	S	S	R	S
ERS356934	11658_3#3	ERR434549	SAMEA2204423	PRJEB4681	Previously sequenced	2010	S	S	R		S	S	S	S	S	S	R	I
ERS356935	11657_5#11	ERR434269	SAMEA2204424	PRJEB4681	Previously sequenced	2010	S	S	R		R	S	S	I	S	S	R	R
ERS356936	11657_6#8	ERR434362	SAMEA2204425	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	S	S	S	S	S
ERS356937	11791_6#9	ERR439636	SAMEA2204426	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	I	S	S	S	R
ERS356938	11657_5#12	ERR434270	SAMEA2204427	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	S	S	S	S	S
ERS356939	11679_4#3	ERR435102	SAMEA2204428	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	S	S	S	S	S
ERS356940	11657_6#9	ERR434363	SAMEA2204429	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	I	S	S	S	S
ERS356941	11657_5#13	ERR434271	SAMEA2204430	PRJEB4681	Previously sequenced	2010	S	S	R		R	S	S	I	S	S	S	R
ERS356942	11657_6#10	ERR434364	SAMEA2204431	PRJEB4681	Previously sequenced	2010	S	S	S		S	S	S	S	S	S	S	S
